fips5,year,ahrf_pcp_count,population,medi_cal_share,county_type,ahrf_pcp_per_100k,high_mc,post_2017,treat_x_post
06027,2022,14.0,18921.0,0.0864878970456107,Underserved,73.99186089530151,0,1,0
06029,2022,446.0,910744.0,0.1087782077071054,Underserved,48.97095122229737,1,1,1
06031,2022,58.0,151921.0,0.1499181957874304,Underserved,38.17773711336813,1,1,1
06033,2022,28.0,67676.0,0.1787212437036599,TRUE DESERT,41.37360364087712,1,1,1
06035,2022,8.0,29889.0,0.1054224705484366,Underserved,26.765699755762988,1,1,1
06037,2022,7619.0,9870212.0,0.0307035313564048,Adequate,77.1918576824895,0,1,0
06039,2022,84.0,157685.0,0.1279317626914418,High MC but OK Access,53.270761327963974,1,1,1
06041,2022,377.0,256512.0,0.0727367963725327,Well-Served,146.97168163672654,0,1,0
06043,2022,5.0,16984.0,0.090391446851939,Underserved,29.43947244465379,0,1,0
06045,2022,72.0,90305.0,0.1617844465361214,Well-Served,79.729804551243,1,1,1
06047,2022,123.0,285109.0,0.1820764651024306,TRUE DESERT,43.14139504540369,1,1,1
06049,2022,6.0,8573.0,0.1513116113897637,Well-Served,69.98716901901318,1,1,1
06051,2022,9.0,13102.0,0.073489098356485,Underserved,68.6918027782018,0,1,0
06053,2022,288.0,436584.0,0.1674937952630218,TRUE DESERT,65.9666868231543,1,1,1
06055,2022,133.0,135833.0,0.0932998199586583,Adequate,97.91435071006309,1,1,1
06057,2022,73.0,101352.0,0.0715215700397295,Adequate,72.02620569895019,0,1,0
06059,2022,3223.0,3159797.0,0.0498782042010926,Adequate,102.0002234320749,0,1,0
06061,2022,510.0,409924.0,0.0307379470882949,Well-Served,124.41330588109015,0,1,0
06063,2022,14.0,19332.0,0.089460911097317,Adequate,72.41878750258638,0,1,0
06065,2022,1164.0,2435510.0,0.0455153966535566,Underserved,47.792864738802145,0,1,0
06067,2022,1458.0,1577672.0,0.0445781353322654,Well-Served,92.41464639037773,0,1,0
06069,2022,19.0,65751.0,0.1075843375428172,Underserved,28.896898906480512,1,1,1
06071,2022,1341.0,2183077.0,0.0499909073294253,Underserved,61.427059146333356,0,1,0
06073,2022,2806.0,3283556.0,0.0183847863384075,Well-Served,85.45613353327917,0,1,0
06075,2022,1393.0,840348.0,0.058008130758527,Well-Served,165.76465940300923,0,1,0
06077,2022,481.0,784289.0,0.0799175158282579,Underserved,61.32943341038826,0,1,0
06079,2022,229.0,280111.0,0.0830759948734608,Underserved,81.75330493982743,0,1,0
06081,2022,823.0,744660.0,0.055714324882049,Underserved,110.52023742379072,0,1,0
06083,2022,339.0,442182.0,0.130830052884207,TRUE DESERT,76.66526452908532,1,1,1
06085,2022,2074.0,1894827.0,0.0349798550524791,Well-Served,109.45590283440124,0,1,0
06087,2022,272.0,264581.0,0.1090258433775164,Well-Served,102.8040562247478,1,1,1
06089,2022,132.0,180547.0,0.1338426497747893,Well-Served,73.11115665173057,1,1,1
06091,2022,0.0,3212.0,0.0660349211290992,,0.0,0,1,0
06093,2022,30.0,43621.0,0.1552036608259528,Well-Served,68.77421425460214,1,1,1
06095,2022,392.0,447671.0,0.1054675817235822,Underserved,87.56430503651119,1,1,1
06097,2022,488.0,481223.0,0.0958326781739212,Well-Served,101.40828680258426,1,1,1
06099,2022,366.0,549272.0,0.0804099183403972,Underserved,66.63365327196725,0,1,0
06101,2022,75.0,99435.0,0.1529745841783856,Underserved,75.4261577915221,1,1,1
06103,2022,36.0,65289.0,0.1223945968437766,Adequate,55.13945687634976,1,1,1
06105,2022,2.0,15967.0,0.1244493851902883,Underserved,12.525834533725808,1,1,1
06107,2022,231.0,475419.0,0.1288054401936577,TRUE DESERT,48.588718582976284,1,1,1
06109,2022,33.0,54484.0,0.0722306854611751,Adequate,60.56824021731151,0,1,0
06111,2022,698.0,832883.0,0.1046309092100037,Underserved,83.80528837783939,1,1,1
06113,2022,264.0,219340.0,0.0964916213286323,Adequate,120.36108324974926,1,1,1
06115,2022,20.0,82281.0,0.1516429471364389,Underserved,24.306948141126142,1,1,1
06001,2023,1914.0,1657334.0,0.050612459528375,Adequate,115.48667920889815,0,1,0
06003,2023,0.0,1184.0,0.0723711993243243,,0.0,0,1,0
06005,2023,20.0,39917.0,0.0506041703200808,Adequate,50.10396572888744,0,1,0
06007,2023,115.0,206884.0,0.1078986291835038,Adequate,55.58670559347267,1,1,1
06009,2023,18.0,44890.0,0.0831616172867008,Underserved,40.09801737580753,0,1,0
06011,2023,6.0,21797.0,0.1357851233350155,TRUE DESERT,27.5267238610818,1,1,1
06013,2023,1224.0,1150306.0,0.059025902672854,Adequate,106.40646923514264,0,1,0
06015,2023,18.0,26596.0,0.1665110459384034,High MC but OK Access,67.67935027823734,1,1,1
06017,2023,156.0,188063.0,0.0541131389230365,Underserved,82.95092601947219,0,1,0
06019,2023,725.0,1015633.0,0.0912547068347195,Well-Served,71.38405309792022,1,1,1
06021,2023,4.0,28442.0,0.1294652274804866,TRUE DESERT,14.063708599957808,1,1,1
06023,2023,86.0,134566.0,0.1204432211702807,Well-Served,63.90915981748733,1,1,1
06025,2023,44.0,181361.0,0.1504037527362553,TRUE DESERT,24.261004295300534,1,1,1
06027,2023,12.0,18896.0,0.0876023144228055,Underserved,63.505503810330225,0,1,0
06029,2023,442.0,909221.0,0.1127760834091308,Underserved,48.613043473478946,1,1,1
06031,2023,54.0,151980.0,0.154475552338758,Underserved,35.53099091985788,1,1,1
06033,2023,26.0,66964.0,0.1861124385241821,TRUE DESERT,38.82683232781793,1,1,1
06035,2023,6.0,28475.0,0.1145059018632328,Underserved,21.071115013169447,1,1,1
06037,2023,7653.0,9834286.0,0.0423614406858742,Adequate,77.81957937769961,0,1,0
06039,2023,83.0,158266.0,0.1108032257928635,High MC but OK Access,52.44335485827657,1,1,1
06041,2023,367.0,254861.0,0.0923287595983693,Well-Served,144.00006277931894,1,1,1
06043,2023,5.0,16964.0,0.0946084355104928,Underserved,29.474180617778828,1,1,1
06045,2023,70.0,89887.0,0.16747756133318,Well-Served,77.8755548633284,1,1,1
06047,2023,126.0,286869.0,0.1867492943933758,TRUE DESERT,43.92248726770756,1,1,1
06049,2023,7.0,8527.0,0.1601318687046375,Well-Served,82.09217778820218,1,1,1
06051,2023,10.0,13178.0,0.0749007183689988,Underserved,75.88404917286385,0,1,0
06053,2023,294.0,436972.0,0.1659827937106572,TRUE DESERT,67.28119879534616,1,1,1
06055,2023,119.0,134992.0,0.0913327027566545,Adequate,88.15337205167714,1,1,1
06057,2023,81.0,100608.0,0.0766251606896734,Adequate,80.51049618320612,0,1,0
06059,2023,3235.0,3156200.0,0.0557791586577389,Adequate,102.49667321462518,0,1,0
06061,2023,524.0,410319.0,0.0331615631848499,Well-Served,127.7055169270738,0,1,0
06063,2023,15.0,18988.0,0.0900612667649743,Adequate,78.99726142827049,0,1,0
06065,2023,1203.0,2467690.0,0.0607202870855315,Underserved,48.750045589194755,0,1,0
06067,2023,1445.0,1583676.0,0.0463821139808526,Well-Served,91.24341089970423,0,1,0
06069,2023,20.0,65370.0,0.1129727363894412,Underserved,30.59507419305492,1,1,1
06071,2023,1363.0,2182351.0,0.0669180414891576,Underserved,62.4555811599509,0,1,0
06073,2023,2834.0,3300587.0,0.0251305997294513,Well-Served,85.86351458089122,0,1,0
06075,2023,1418.0,848036.0,0.0565663080635727,Well-Served,167.2098825993236,0,1,0
06077,2023,498.0,787696.0,0.0777857667341624,Underserved,63.222359895188,0,1,0
06079,2023,220.0,280206.0,0.0866856289063522,Underserved,78.51366494650364,0,1,0
06081,2023,834.0,749670.0,0.0781006605869545,Underserved,111.24894953779662,0,1,0
06083,2023,343.0,443463.0,0.136569517136216,TRUE DESERT,77.34579886033333,1,1,1
06085,2023,2100.0,1915165.0,0.0522649049385649,Well-Served,109.65112666532649,0,1,0
06087,2023,267.0,264250.0,0.1107011458004835,Well-Served,101.04068117313152,1,1,1
06089,2023,136.0,179587.0,0.1402489539270041,Well-Served,75.72931225534141,1,1,1
06091,2023,0.0,3193.0,0.0690899363190312,,0.0,0,1,0
