FID,OBJECTID,UNIT_COUNT,CNTY_FIPS,MSSA_ID,DEFINITION,AREA_SQMI,MSSA_COUNT,MSSA_NAME,Total_Popu,EST_Physic,EST_FNPPA,EST_Provid,Provider_R,Score_Prov,Pop_100FPL,PCT_100FPL,Score_Pove,Score_Tota,PCSA,Effective,Shape__Area,Shape__Length
349,349,23,001,2k,Urban,0.62569375,Alameda,Dublin/Pleasanton/Santa Rita/Sunol,127835,169,44.8,202.6,631,0,5042,0.039,0,0,No,2020/01/30 00:00:00+00,252471700.699219,100610.777468132
350,350,23,001,2l,Urban,0.63108865,Alameda,Fremont East/Niles/Union City Central,122221,97,25.1,115.8,1055.4,1,6483,0.053,1,2,No,2020/01/30 00:00:00+00,105523620.335938,79658.834100152
351,351,31,001,2m,Urban,0.75509147,Alameda,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,120643,390,83.9,452.9,266.4,0,11180,0.093,1,1,No,2020/01/30 00:00:00+00,71882026.3085938,61038.0603904223
352,352,24,001,2n,Urban,2.03683664,Alameda,Hayward Central,119983,10,5,13.7,8757.9,5,12585,0.105,2,7,Yes,2020/01/30 00:00:00+00,58501489.4296875,59072.8082519939
353,353,1,003,3,Frontier,743.18774696,Alpine,Alpine Village/Bear Valley/Kirkwood/Markleeville/Mesa Valley/Woodfords,1188,0,0,0,0,5,235,0.198,3,8,Yes,2020/01/30 00:00:00+00,3156001380.19531,275563.011659185
354,354,19,019,30,Rural,72.1688582,Fresno,Bowles/Caruthers/Easton/Kingsburg/Lanare/Laton/Raisin City/Riverdale/Selma,92775,34.3,18.2,48,1932.8,2,25724,0.277,5,7,Yes,2020/01/30 00:00:00+00,1908874031.03906,211418.770831218
355,355,23,019,31,Rural,21.96181489,Fresno,Auberry/Calwa/Centerville/Clovis East/Del Rey/Fowler/Friant/Sanger/Shaver Lake,104683,33.3,17.5,46.5,2251.2,3,14654,0.14,2,5,Yes,2020/01/30 00:00:00+00,8597373207.16797,604283.066302595
356,356,11,019,32,Rural,829.63820425,Fresno,Orange Cove/Parlier/Reedley/Squaw Valley/Tivy Valley/Wonder Valley,63664,24.2,13.2,34.1,1867,2,19705,0.31,5,7,Yes,2020/01/30 00:00:00+00,3836537717.83984,459665.585405222
357,357,27,019,35a,Urban,2.19877968,Fresno,Fresno Northwest,138199,90.3,84.8,153.9,898,0,13221,0.096,1,1,No,2020/01/30 00:00:00+00,161354491.402344,104262.261821306
358,358,21,019,35b,Urban,1.24922025,Fresno,Clovis West/Fresno East,109493,8.5,14.6,19.4,5644,5,19053,0.174,3,8,Yes,2020/01/30 00:00:00+00,136530051.011719,76411.8574073472
359,359,20,019,35c,Urban,0.49553136,Fresno,Fresno West Central,83009,59.8,104.2,138,601.5,0,31479,0.379,5,5,Yes,2020/01/30 00:00:00+00,49598502.1015625,31557.2541002232
360,360,23,019,35d,Urban,0.50516953,Fresno,Fresno East Central,95655,15.3,17.9,28.7,3332.9,5,39336,0.411,5,10,Yes,2020/01/30 00:00:00+00,54482822.0039062,37278.6094963093
361,361,18,019,35e,Urban,1.3140719,Fresno,Fresno South and West,93102,4,10,11.5,8095.8,5,33853,0.364,5,10,Yes,2020/01/30 00:00:00+00,94341083.5,71636.418083226
362,362,20,019,35f,Urban,0.50077386,Fresno,Fresno North Central,79673,100.3,83.7,163.1,488.5,0,20086,0.252,5,5,Yes,2020/01/30 00:00:00+00,66447369.6953125,46065.3554055351
363,363,2,021,36.1,Rural,52.20603892,Glenn,Orland,12772,4,4.3,7.2,1773.9,2,2938,0.23,4,6,Yes,2020/01/30 00:00:00+00,257249904.078125,78597.4744891063
364,364,1,021,36.2,Rural,62.96489496,Glenn,Hamilton City,3886,0,0,0,0,5,653,0.168,3,8,Yes,2020/01/30 00:00:00+00,275997185.820312,87662.1270633947
365,365,3,021,37,Frontier,206.31349531,Glenn,Artois/Elk Creek/Glenn/Grindstone Indian Rancheria/Willows,10884,2,5.6,6.2,1755.5,2,1813,0.167,3,5,Yes,2020/01/30 00:00:00+00,5262850657.78125,387149.153839429
366,366,2,023,38,Frontier,141.68572113,Humboldt,Hoopa/Willow Creek,5728,1.5,7.7,7.2,795.6,0,2199,0.384,5,5,Yes,2020/01/30 00:00:00+00,4239502550.43359,423054.347776922
367,367,15,023,39,Rural,3.71906266,Humboldt,Arcata/Eureka,70697,35.5,56.3,77.8,908.7,0,16226,0.23,4,4,No,2020/01/30 00:00:00+00,1994284973.47266,398154.410791636
368,368,6,005,4,Rural,43.72091242,Amador,Ione/Jackson/Pine Grove/Sutter Creek,23400,27,9.6,34.2,684.2,0,2532,0.108,2,2,No,2020/01/30 00:00:00+00,1171423303.73828,234329.982967265
369,369,5,023,40,Rural,3.87016234,Humboldt,Bluelake/McKinleyville/Orick/Trinidad,23371,10,5.3,14,1669.4,2,3767,0.161,3,5,Yes,2020/01/30 00:00:00+00,2394326434.77734,345349.91652947
370,370,6,023,42,Rural,2.72627895,Humboldt,Ferndale/Fortuna/Rio Dell/Scotia,25659,8,13,17.7,1449.7,1,3813,0.149,2,3,No,2020/01/30 00:00:00+00,4272640892.51562,468444.158355218
371,371,2,023,44,Frontier,340.84552639,Humboldt,Garberville/Redway,6723,2,6,6.5,1034.3,1,1476,0.22,4,5,Yes,2020/01/30 00:00:00+00,3266148984.14453,280935.897155049
372,372,1,025,46,Rural,44.93551617,Imperial,Bard/Winterhaven,1902,0,2.3,1.7,1118.8,1,571,0.3,5,6,Yes,2020/01/30 00:00:00+00,165106276.199219,92056.5515359745
373,373,4,025,47,Frontier,198.48753355,Imperial,Bombay Beach/Calipatria/Desert Shores/Niland/Salton City/Salton Sea Beach,11757,6,1.7,7.2,1632.9,2,4225,0.359,5,7,Yes,2020/01/30 00:00:00+00,10441356518.6094,566936.579806561
374,374,14,025,48,Rural,0.79040859,Imperial,El Centro/Heber/Holtville/Imperial/Seeley,85681,17,30.2,39.6,2163.7,3,17013,0.199,3,6,Yes,2020/01/30 00:00:00+00,1221510172.75391,159149.128387014
375,375,6,025,49,Rural,1.02841827,Imperial,Calexico/Ocotillo,41102,11.5,6.6,16.5,2491,3,10241,0.249,4,7,Yes,2020/01/30 00:00:00+00,3713480051.13672,388487.746475317
376,376,1,005,5,Rural,124.81904043,Amador,Plymouth,4490,0.5,0,0.5,8980,5,354,0.079,1,6,Yes,2020/01/30 00:00:00+00,528289010.601562,161622.727970913
377,377,6,025,50,Rural,3.34002093,Imperial,Brawley/Westmorland,29559,13,20.9,28.7,1029.9,1,8326,0.282,5,6,Yes,2020/01/30 00:00:00+00,1020534629.91016,181422.196356046
378,378,4,027,53,Rural,4.58596537,Inyo,Bishop/Bishop Paiute Tribe/Mustang Mesa/Round Valley/West Bishop/Wilkerson,12675,16,6,20.5,618.3,0,1072,0.085,1,1,No,2020/01/30 00:00:00+00,3018760700.19141,294821.177079279
379,379,1,027,54,Frontier,2624.42672296,Inyo,Aberdeen/Big Pine/Big Pine Reservation/Fort Independence Indian/Independence,2322,0,0,0,0,5,255,0.11,2,7,Yes,2020/01/30 00:00:00+00,10664248565.8516,573543.648554199
380,380,1,027,55,Frontier,6866.80029454,Inyo,Alabama Hills/Cartago/Darwin/Keeler/Lone Pine/Lone Pine Paiute Shoshone Tribe/Olancha/Pearsonville,2740,1,2.3,2.7,1014.8,1,479,0.175,3,4,No,2020/01/30 00:00:00+00,27404475381.2188,969297.964496571
381,381,2,029,57.1,Rural,414.67326007,Kern,Fort Tejon/Frazier Park/Lebec/Pine Mountain,8351,0.5,0,0.5,16702,5,1705,0.204,4,9,Yes,2020/01/30 00:00:00+00,1659029077.70312,205920.331239725
382,382,5,029,57.2,Rural,92.34521661,Kern,BlackwellGÇÖs Corners/Ford City/Maricopa/McKittrick/Taft,19661,1.5,1.7,2.7,7281.9,5,5404,0.275,5,10,Yes,2020/01/30 00:00:00+00,2806201296.51172,352376.261499703
383,383,5,029,58.1,Rural,84.91884909,Kern,Shafter,20570,7.5,6.3,12.2,1686.1,2,5177,0.252,5,7,Yes,2020/01/30 00:00:00+00,633591080.550781,119787.710222483
384,384,5,029,58.2,Rural,0.72036272,Kern,Lost Hills/Wasco,24169,6.5,8,12.5,1933.5,2,6730,0.278,5,7,Yes,2020/01/30 00:00:00+00,3716859789.86328,299037.486104581
385,385,1,029,59,Rural,186.73066178,Kern,Buttonwillow,3579,1,0.3,1.2,2982.5,4,945,0.264,5,9,Yes,2020/01/30 00:00:00+00,729431921.097656,135643.786152253
386,386,2,005,6,Rural,179.2094145,Amador,Pioneer,5671,0.5,1.3,1.5,3780.7,5,678,0.12,2,7,Yes,2020/01/30 00:00:00+00,862815588.339844,202572.119425657
387,387,10,029,60,Urban,1.80792001,Kern,Delano/McFarland,60420,43.5,14.6,54.4,1110.7,1,16363,0.271,5,6,Yes,2020/01/30 00:00:00+00,886369237.289062,131008.453991938
388,388,8,029,61,Rural,34.46275175,Kern,Arvin/Lamont/Weed Patch,43018,15,5,18.7,2300.4,3,13422,0.312,5,8,Yes,2020/01/30 00:00:00+00,769080955.070312,140507.496513273
389,389,7,029,62,Rural,5.93460223,Kern,Bear Valley Springs/Keene/Stallion Springs/Tehachapi,30976,19.5,5.9,23.9,1296.1,1,4399,0.142,2,3,No,2020/01/30 00:00:00+00,5141649108.51172,380243.482778901
390,390,3,029,63,Frontier,962.10942689,Kern,Alta Sierra/Bodfish/Glennville/Kernville/Lake Isabella/Weldon/Wofford Heights,15437,3,3.3,5.5,2806.7,4,3496,0.226,4,8,Yes,2020/01/30 00:00:00+00,6609549129.33984,494234.443886468
391,391,6,029,64,Rural,2.03864018,Kern,Inyokern/Ridgecrest,35263,18,10.3,25.7,1372.1,1,6342,0.18,3,4,No,2020/01/30 00:00:00+00,1572038578.94531,204989.040691953
392,392,9,029,65,Rural,22.77805686,Kern,Boron/California City/Desert Lake/Mojave/North Edwards/Rosamond,42847,2,6,6.5,6591.8,5,10034,0.234,4,9,Yes,2020/01/30 00:00:00+00,5464133801.1875,375261.734862156
393,393,21,029,66a,Urban,1.0975318,Kern,Bakersfield Northeast/Oildale,109145,52,67,102.2,1068,1,24039,0.22,4,5,Yes,2020/01/30 00:00:00+00,657417796.878906,160880.4853958
394,394,24,029,66b,Urban,1.03329319,Kern,Bakersfield East/Lakeview/La Loma,142734,52,35.8,78.9,1809,2,56556,0.396,5,7,Yes,2020/01/30 00:00:00+00,149478474.269531,55090.6751913324
395,395,22,029,66c,Urban,0.63769699,Kern,Bakersfield Southwest,166399,37,31.9,60.9,2732.3,4,25005,0.15,3,7,Yes,2020/01/30 00:00:00+00,758110842.828125,142765.353532727
396,396,23,029,66d,Urban,1.26703668,Kern,Bakersfield Northwest/Rosedale,124471,222.5,101.7,298.8,416.6,0,11506,0.092,1,1,No,2020/01/30 00:00:00+00,292495885.589844,81627.0301713711
397,397,2,031,67,Rural,304.74813657,Kings,Avenal,9252,6.5,6.3,11.2,826.1,0,3347,0.362,5,5,Yes,2020/01/30 00:00:00+00,1208682728.36719,148891.246878138
398,398,6,031,68,Rural,1.97546889,Kings,Corcoran/Kettleman City/Stratford,19274,18,6.3,22.7,849.1,0,6855,0.356,5,5,Yes,2020/01/30 00:00:00+00,2690635602.28125,229094.357545485
399,399,19,031,69,Urban,25.62183514,Kings,Armona/Hanford/Lemoore,105675,41.5,47.7,77.3,1367.1,1,17811,0.169,3,4,No,2020/01/30 00:00:00+00,1629249796.12891,201775.970155806
400,400,22,007,7.1,Urban,1.02672824,Butte,Chapmantown/Chico,96487,55.5,63.6,103.2,935,0,23007,0.238,4,4,No,2020/01/30 00:00:00+00,157705964.3125,83968.7070557952
401,401,1,007,7.2,Rural,125.36537979,Butte,Capay/Lake/Nord,5798,3,1,3.8,1525.8,2,379,0.065,1,3,No,2020/01/30 00:00:00+00,550465797.515625,156160.501186107
402,402,1,007,7.3,Rural,215.72102519,Butte,Butte Meadows/Cohasset/Forest Ranch,4820,0,0,0,0,5,387,0.08,1,6,Yes,2020/01/30 00:00:00+00,950755216.113281,241884.477793899
403,403,1,007,7.4,Rural,136.7869812,Butte,Durham,5644,0,0,0,0,5,564,0.1,1,6,Yes,2020/01/30 00:00:00+00,597538988.402344,133452.399048682
404,404,3,033,70.1,Rural,73.56325083,Lake,Kelseyville/Lakeport,14944,15.6,14.2,26.3,568.2,0,2872,0.192,3,3,No,2020/01/30 00:00:00+00,510487632.074219,149733.501459116
405,405,3,033,70.2,Rural,465.02860307,Lake,Lucerne/Nice/Upper Lake,9049,1,3.7,3.7,2445.7,3,2341,0.259,5,8,Yes,2020/01/30 00:00:00+00,2737091096.12109,348787.979711249
406,406,5,033,71.1,Rural,125.62032614,Lake,Clearlake/Clearlake Oaks,19138,8.5,7.6,14.2,1347.7,1,6328,0.331,5,6,Yes,2020/01/30 00:00:00+00,812104259.246094,216200.816558506
407,407,2,033,71.2,Rural,50.91569642,Lake,Lower Lake,9987,0.5,0,0.5,19974,5,1394,0.14,2,7,Yes,2020/01/30 00:00:00+00,837407155.445312,206782.492995021
408,408,2,033,71.3,Rural,122.67056851,Lake,Cobb/Hidden Valley/Middletown,9983,1,1.3,2,4991.5,5,1463,0.147,2,7,Yes,2020/01/30 00:00:00+00,828166902.769531,185611.571814455
409,409,6,035,72,Rural,59.84219743,Lassen,Susanville,15662,18,13.3,28,559.4,0,2394,0.153,3,3,No,2020/01/30 00:00:00+00,1882244356.1875,274868.269312008
410,410,1,035,73,Frontier,2935.86567743,Lassen,Bieber/Madeline/Nubieber,1333,1,1,1.8,740.6,0,208,0.156,3,3,No,2020/01/30 00:00:00+00,13308210332.4375,592026.474175723
411,411,1,035,74,Frontier,599.91677833,Lassen,Doyle,1867,0,0.3,0.2,9335,5,225,0.121,2,7,Yes,2020/01/30 00:00:00+00,2661073956.67969,347532.840682098
412,412,1,035,75,Frontier,762.93009684,Lassen,Westwood,2688,0,0.3,0.2,13440,5,328,0.122,2,7,Yes,2020/01/30 00:00:00+00,3422303772.14062,331284.244737395
413,413,27,037,76.1a,Urban,26.34125486,Los Angeles,Canyon Country/Santa Clarita West/Saugus,122758,108.5,40.8,139.1,882.5,0,7561,0.062,1,1,No,2020/01/30 00:00:00+00,364775240.324219,126012.877193144
