"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M",
"Geography","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages",
"0500000US06085","Santa Clara County, California","635314","1803","98736","1820","76213","1989","176182","2260","10199","781","(X)","(X)","15.5","0.3","12.0","0.3","27.7","0.3","1.6","0.1","66202","1935","14398","898","7378","654","43120","1481","1306","340","10.4","0.3","14.6","0.9","9.7","0.8","24.5","0.8","12.8","3.1",
"0500000US06087","Santa Cruz County, California","96275","747","21564","771","4671","575","3251","382","729","277","(X)","(X)","22.4","0.8","4.9","0.6","3.4","0.4","0.8","0.3","4975","610","4167","578","198","125","509","130","101","125","5.2","0.6","19.3","2.5","4.2","2.6","15.7","3.7","13.9","15.4",
"0500000US06089","Shasta County, California","70845","699","3885","400","1618","287","1421","210","316","127","(X)","(X)","5.5","0.6","2.3","0.4","2.0","0.3","0.4","0.2","721","174","382","146","104","59","210","81","25","28","1.0","0.2","9.8","3.6","6.4","3.4","14.8","5.3","7.9","9.2",
"0500000US06091","Sierra County, California","1250","155","157","92","14","23","0","13","0","13","(X)","(X)","12.6","7.1","1.1","1.8","0.0","3.1","0.0","3.1","0","13","0","13","0","13","0","13","0","13","0.0","3.1","0.0","22.2","0.0","87.9","-","**","-","**",
"0500000US06093","Siskiyou County, California","19195","407","1168","144","349","97","148","47","83","32","(X)","(X)","6.1","0.7","1.8","0.5","0.8","0.2","0.4","0.2","191","74","146","67","2","4","39","27","4","6","1.0","0.4","12.5","5.8","0.6","1.1","26.4","16.8","4.8","8.0",
"0500000US06095","Solano County, California","151191","723","24739","774","4570","517","17717","730","757","182","(X)","(X)","16.4","0.5","3.0","0.3","11.7","0.5","0.5","0.1","6802","710","3761","554","418","146","2528","374","95","61","4.5","0.5","15.2","2.1","9.1","3.1","14.3","2.1","12.5","8.0",
"0500000US06097","Sonoma County, California","188958","873","30518","782","6753","537","6171","533","1317","270","(X)","(X)","16.2","0.4","3.6","0.3","3.3","0.3","0.7","0.1","7787","741","5990","685","472","137","1234","279","91","56","4.1","0.4","19.6","2.2","7.0","1.9","20.0","3.8","6.9","4.1",
"0500000US06099","Stanislaus County, California","174826","884","59796","1204","9584","811","6171","489","3978","547","(X)","(X)","34.2","0.7","5.5","0.5","3.5","0.3","2.3","0.3","13805","1054","9698","940","1678","393","1235","287","1194","301","7.9","0.6","16.2","1.5","17.5","3.8","20.0","4.0","30.0","5.9",
"0500000US06101","Sutter County, California","32586","259","6758","389","3750","291","959","267","34","24","(X)","(X)","20.7","1.2","11.5","0.9","2.9","0.8","0.1","0.1","2408","382","1546","293","636","203","221","101","5","9","7.4","1.2","22.9","4.1","17.0","5.2","23.0","10.6","14.7","25.5",
"0500000US06103","Tehama County, California","24661","418","4066","376","380","166","386","127","43","51","(X)","(X)","16.5","1.5","1.5","0.7","1.6","0.5","0.2","0.2","562","191","477","167","12","15","73","81","0","31","2.3","0.8","11.7","4.1","3.2","4.4","18.9","21.3","0.0","50.2",
"0500000US06105","Trinity County, California","5896","227","125","64","29","27","93","56","5","6","(X)","(X)","2.1","1.1","0.5","0.5","1.6","0.9","0.1","0.1","44","36","38","33","0","21","6","13","0","21","0.7","0.6","30.4","22.3","0.0","61.1","6.5","13.0","0.0","100.0",
"0500000US06107","Tulare County, California","139044","793","66414","1351","2789","429","3350","312","599","204","(X)","(X)","47.8","0.9","2.0","0.3","2.4","0.2","0.4","0.1","22786","1059","21312","1086","449","200","875","229","150","96","16.4","0.8","32.1","1.7","16.1","6.1","26.1","6.7","25.0","13.7",
"0500000US06109","Tuolumne County, California","22937","637","1027","234","491","205","231","81","100","112","(X)","(X)","4.5","1.0","2.1","0.9","1.0","0.4","0.4","0.5","162","100","73","58","44","70","45","45","0","31","0.7","0.4","7.1","5.3","9.0","13.6","19.5","20.0","0.0","31.7",
"0500000US06111","Ventura County, California","271639","1129","73446","1218","11909","745","13920","616","2523","367","(X)","(X)","27.0","0.4","4.4","0.3","5.1","0.2","0.9","0.1","15655","773","11982","698","865","218","2270","297","538","165","5.8","0.3","16.3","1.0","7.3","1.8","16.3","2.2","21.3","5.9",
"0500000US06113","Yolo County, California","74614","619","15975","701","5470","538","6830","403","575","196","(X)","(X)","21.4","0.9","7.3","0.7","9.2","0.5","0.8","0.3","4535","468","2293","373","782","254","1432","264","28","31","6.1","0.6","14.4","2.3","14.3","4.2","21.0","3.6","4.9","5.6",
"0500000US06115","Yuba County, California","26434","401","4733","313","601","172","1356","185","212","157","(X)","(X)","17.9","1.2","2.3","0.7","5.1","0.7","0.8","0.6","794","211","577","161","7","8","166","114","44","62","3.0","0.8","12.2","3.3","1.2","1.3","12.2","8.1","20.8","26.1",
