"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C01_006E","S1602_C01_006M","S1602_C01_007E","S1602_C01_007M","S1602_C01_008E","S1602_C01_008M",
"0500000US06025","Imperial County, California","20.4","1.4","27.0","1.8","0.7","0.9","23.2","11.9","13.6","13.6","2.0","(X)","1.7","(X)","2.0","(X)",
"0500000US06027","Inyo County, California","2.9","1.3","21.9","11.2","47.8","36.8","40.5","52.3","8.0","10.4","3.3","(X)","1.9","(X)","3.5","(X)",
"0500000US06029","Kern County, California","9.3","0.4","24.6","1.0","12.6","3.0","19.6","3.0","15.6","6.5","2.5","(X)","2.3","(X)","2.8","(X)",
"0500000US06031","Kings County, California","11.3","1.0","26.9","2.3","9.8","3.7","15.2","4.7","43.2","33.3","4.0","(X)","4.0","(X)","4.4","(X)",
"0500000US06033","Lake County, California","2.2","0.6","17.7","6.0","8.1","7.6","5.9","10.6","32.4","38.1","3.7","(X)","3.6","(X)","4.7","(X)",
"0500000US06035","Lassen County, California","0.5","0.3","7.6","5.8","2.6","4.2","2.1","3.4","0.0","33.7","6.5","(X)","12.3","(X)","14.0","(X)",
"0500000US06037","Los Angeles County, California","14.8","0.1","26.1","0.3","24.8","0.6","33.0","0.4","18.7","1.2","2.9","(X)","2.8","(X)","3.3","(X)",
"0500000US06039","Madera County, California","9.7","1.0","25.7","2.7","14.0","8.1","13.8","10.4","9.1","12.4","2.8","(X)","2.9","(X)","3.2","(X)",
"0500000US06041","Marin County, California","4.7","0.4","27.9","3.4","11.2","2.2","15.4","4.0","14.1","10.9","4.8","(X)","5.0","(X)","6.1","(X)",
"0500000US06043","Mariposa County, California","1.0","1.2","11.3","16.3","0.0","39.5","28.9","36.9","0.0","42.6","3.2","(X)","4.7","(X)","4.4","(X)",
"0500000US06045","Mendocino County, California","3.7","0.7","25.6","4.9","1.0","1.5","12.7","8.3","0.0","25.6","3.5","(X)","3.4","(X)","4.5","(X)",
"0500000US06047","Merced County, California","14.1","0.8","27.9","1.7","22.9","4.0","20.1","5.4","3.2","6.3","2.4","(X)","2.5","(X)","2.9","(X)",
"0500000US06049","Modoc County, California","1.8","1.0","21.7","11.4","0.0","52.4","0.0","75.1","0.0","85.1","5.5","(X)","1.9","(X)","2.3","(X)",
"0500000US06051","Mono County, California","4.5","2.0","28.2","12.8","40.2","46.6","0.0","49.7","0.0","100.0","1.0","(X)","0.3","(X)","0.4","(X)",
"0500000US06053","Monterey County, California","14.6","0.6","33.3","1.5","14.1","3.0","26.1","3.0","22.7","11.0","2.9","(X)","2.9","(X)","3.3","(X)",
"0500000US06055","Napa County, California","7.5","0.8","28.6","3.4","8.6","3.9","11.0","3.9","19.6","11.1","3.0","(X)","3.1","(X)","4.0","(X)",
"0500000US06057","Nevada County, California","1.4","0.4","22.9","8.5","12.5","8.1","2.8","5.1","0.0","33.9","2.1","(X)","2.0","(X)","3.3","(X)",
"0500000US06059","Orange County, California","9.9","0.2","22.5","0.5","12.2","0.9","30.2","0.8","17.3","2.6","3.0","(X)","3.1","(X)","4.0","(X)",
"0500000US06061","Placer County, California","2.7","0.3","18.5","2.7","11.8","2.9","17.8","3.7","25.4","14.9","2.3","(X)","1.7","(X)","2.8","(X)",
"0500000US06063","Plumas County, California","1.0","0.6","15.4","10.2","0.0","18.6","12.5","19.4","-","**","1.9","(X)","2.1","(X)","3.4","(X)",
"0500000US06065","Riverside County, California","7.4","0.2","20.0","0.6","11.4","1.4","21.7","1.6","8.9","3.3","3.3","(X)","3.3","(X)","3.8","(X)",
"0500000US06067","Sacramento County, California","7.0","0.2","21.7","1.3","22.4","1.6","26.7","1.1","16.0","3.6","3.1","(X)","2.9","(X)","3.7","(X)",
"0500000US06069","San Benito County, California","11.1","1.9","26.8","4.8","17.4","14.6","36.0","19.1","66.7","53.0","2.4","(X)","2.4","(X)","2.8","(X)",
"0500000US06071","San Bernardino County, California","7.8","0.3","19.2","0.7","10.4","1.8","21.3","1.5","11.8","3.0","3.4","(X)","3.2","(X)","3.7","(X)",
"0500000US06073","San Diego County, California","8.0","0.2","23.0","0.6","13.7","1.1","23.3","1.0","26.6","2.3","3.3","(X)","3.0","(X)","3.7","(X)",
"0500000US06075","San Francisco County, California","13.3","0.4","22.0","2.0","20.8","1.8","39.5","1.1","12.8","4.4","4.0","(X)","4.4","(X)","5.2","(X)",
"0500000US06077","San Joaquin County, California","9.5","0.4","25.5","1.3","17.1","2.7","25.8","2.0","10.1","4.7","4.3","(X)","4.5","(X)","5.0","(X)",
"0500000US06079","San Luis Obispo County, California","2.9","0.4","17.3","2.8","5.6","2.7","23.7","6.4","0.0","10.0","3.0","(X)","3.4","(X)","4.7","(X)",
"0500000US06081","San Mateo County, California","9.9","0.4","26.1","1.8","12.8","1.3","22.6","1.5","15.7","3.4","2.9","(X)","3.2","(X)","3.9","(X)",
"0500000US06083","Santa Barbara County, California","8.1","0.4","25.0","1.5","6.6","1.5","23.4","4.0","11.0","7.5","2.7","(X)","2.5","(X)","3.2","(X)",
"0500000US06085","Santa Clara County, California","11.8","0.3","22.7","1.0","12.3","0.8","27.9","0.8","14.8","2.6","3.4","(X)","3.4","(X)","4.0","(X)",
"0500000US06087","Santa Cruz County, California","6.4","0.6","26.4","2.6","8.7","2.7","21.0","6.2","28.2","15.1","2.5","(X)","3.2","(X)","4.0","(X)",
"0500000US06089","Shasta County, California","1.3","0.3","10.3","3.2","10.8","5.4","25.5","8.1","10.8","10.1","3.6","(X)","3.7","(X)","6.5","(X)",
"0500000US06091","Sierra County, California","2.8","2.3","71.2","29.7","0.0","77.3","-","**","-","**","0.9","(X)","0.4","(X)","0.4","(X)",
"0500000US06093","Siskiyou County, California","1.8","0.5","15.8","5.9","14.2","8.6","27.0","12.2","8.1","8.4","3.1","(X)","3.9","(X)","4.8","(X)",
"0500000US06095","Solano County, California","5.5","0.4","23.8","2.1","8.8","2.6","12.8","1.8","9.8","6.9","3.7","(X)","3.4","(X)","4.0","(X)",
"0500000US06097","Sonoma County, California","4.9","0.4","25.1","2.0","10.4","2.4","22.3","4.4","12.8","6.4","3.5","(X)","4.4","(X)","5.7","(X)",
"0500000US06099","Stanislaus County, California","8.8","0.5","21.7","1.4","19.2","3.1","19.4","3.2","29.1","5.1","2.7","(X)","2.9","(X)","3.4","(X)",
"0500000US06101","Sutter County, California","10.1","1.3","33.4","4.6","29.1","6.3","21.4","7.2","0.0","36.4","4.1","(X)","5.0","(X)","5.6","(X)",
"0500000US06103","Tehama County, California","3.1","0.8","17.6","5.1","6.6","5.8","37.5","25.4","0.0","40.1","3.0","(X)","2.8","(X)","3.8","(X)",
"0500000US06105","Trinity County, California","0.1","0.1","0.7","1.5","0.0","32.7","2.9","5.9","-","**","2.0","(X)","0.5","(X)","1.3","(X)",
"0500000US06107","Tulare County, California","12.5","0.6","27.5","1.3","12.8","3.7","19.8","4.6","5.5","5.6","3.3","(X)","2.8","(X)","3.7","(X)",
"0500000US06109","Tuolumne County, California","0.7","0.3","12.5","6.0","2.7","4.3","10.3","12.8","0.0","56.3","2.8","(X)","7.4","(X)","9.7","(X)",
"0500000US06111","Ventura County, California","7.5","0.3","23.0","1.0","7.4","1.6","20.2","2.1","17.5","6.7","2.7","(X)","2.7","(X)","3.3","(X)",
"0500000US06113","Yolo County, California","9.6","0.9","30.4","3.4","25.0","4.4","25.7","4.2","11.6","9.6","2.9","(X)","3.3","(X)","3.9","(X)",
"0500000US06115","Yuba County, California","6.1","1.1","29.3","5.8","7.1","5.8","18.9","7.4","0.0","35.6","3.2","(X)","3.8","(X)","4.4","(X)",
