"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C01_006E","S1602_C01_006M","S1602_C01_007E","S1602_C01_007M","S1602_C01_008E","S1602_C01_008M",
"0500000US06029","Kern County, California","8.8","0.3","22.6","0.8","12.0","2.7","19.1","2.7","20.1","7.2","3.5","(X)","3.4","(X)","3.7","(X)",
"0500000US06031","Kings County, California","10.4","1.1","24.0","2.6","8.7","4.4","19.7","5.5","40.1","27.2","4.6","(X)","4.7","(X)","4.9","(X)",
"0500000US06033","Lake County, California","2.0","0.5","16.1","4.2","5.9","6.4","10.8","13.0","0.0","44.9","9.1","(X)","6.7","(X)","7.7","(X)",
"0500000US06035","Lassen County, California","0.8","0.4","8.7","5.6","6.2","6.9","15.4","12.1","0.0","32.1","4.6","(X)","5.7","(X)","8.4","(X)",
"0500000US06037","Los Angeles County, California","14.0","0.1","23.6","0.2","24.2","0.6","32.2","0.5","18.5","1.2","4.4","(X)","4.2","(X)","4.6","(X)",
"0500000US06039","Madera County, California","9.1","0.9","23.5","2.3","13.2","7.4","12.7","8.4","7.7","10.1","3.6","(X)","3.5","(X)","3.8","(X)",
"0500000US06041","Marin County, California","4.5","0.4","24.2","3.1","11.0","2.3","20.2","4.9","24.3","13.0","6.1","(X)","7.2","(X)","8.0","(X)",
"0500000US06043","Mariposa County, California","1.4","1.1","13.9","11.2","0.0","15.2","24.4","40.8","0.0","82.3","4.9","(X)","6.2","(X)","6.3","(X)",
"0500000US06045","Mendocino County, California","4.3","0.8","28.1","5.1","4.1","4.0","10.9","9.1","12.0","17.0","6.7","(X)","7.0","(X)","7.9","(X)",
"0500000US06047","Merced County, California","13.2","0.8","25.8","1.7","23.8","4.3","18.6","4.3","22.1","24.9","3.3","(X)","2.8","(X)","3.0","(X)",
"0500000US06049","Modoc County, California","2.7","1.4","35.4","16.6","0.0","31.4","0.0","97.3","0.0","100.0","3.6","(X)","2.5","(X)","3.8","(X)",
"0500000US06051","Mono County, California","4.6","2.3","36.0","13.5","0.0","26.3","0.0","62.8","0.0","100.0","1.9","(X)","1.2","(X)","1.3","(X)",
"0500000US06053","Monterey County, California","13.9","0.5","31.3","1.3","10.7","2.7","22.9","2.9","25.0","9.2","4.8","(X)","4.9","(X)","5.2","(X)",
"0500000US06055","Napa County, California","6.8","0.7","25.0","2.8","7.5","3.6","10.0","2.8","21.9","14.6","4.5","(X)","4.4","(X)","5.2","(X)",
"0500000US06057","Nevada County, California","1.3","0.4","18.4","6.8","8.7","5.3","7.3","7.6","0.0","27.5","4.0","(X)","3.4","(X)","4.5","(X)",
"0500000US06059","Orange County, California","9.4","0.2","19.6","0.5","12.0","1.0","29.4","0.7","17.9","3.1","4.6","(X)","4.4","(X)","5.1","(X)",
"0500000US06061","Placer County, California","2.5","0.3","17.3","3.2","10.7","2.5","16.7","4.0","7.3","6.0","4.4","(X)","3.4","(X)","4.1","(X)",
"0500000US06063","Plumas County, California","0.8","0.7","10.3","11.1","5.3","8.3","0.0","32.4","0.0","100.0","3.9","(X)","1.9","(X)","2.5","(X)",
"0500000US06065","Riverside County, California","6.8","0.2","17.6","0.6","10.6","1.4","20.3","1.5","10.5","2.8","4.8","(X)","4.5","(X)","4.9","(X)",
"0500000US06067","Sacramento County, California","6.9","0.2","19.9","1.1","21.8","1.5","26.3","1.4","20.5","4.1","4.6","(X)","4.2","(X)","4.9","(X)",
"0500000US06069","San Benito County, California","9.2","1.4","21.7","3.1","24.6","16.4","26.9","17.7","71.4","56.4","4.0","(X)","3.3","(X)","3.6","(X)",
"0500000US06071","San Bernardino County, California","7.2","0.2","16.8","0.6","10.7","1.7","22.4","1.5","13.5","3.9","4.7","(X)","4.3","(X)","4.7","(X)",
"0500000US06073","San Diego County, California","7.8","0.2","21.5","0.7","13.7","1.3","22.7","0.9","29.4","2.6","4.7","(X)","4.4","(X)","5.0","(X)",
"0500000US06075","San Francisco County, California","12.5","0.4","21.2","1.8","18.4","1.6","37.2","1.3","13.4","3.4","5.4","(X)","5.5","(X)","6.1","(X)",
"0500000US06077","San Joaquin County, California","9.2","0.5","24.2","1.2","14.7","2.5","24.1","2.1","12.5","6.8","5.2","(X)","5.3","(X)","5.6","(X)",
"0500000US06079","San Luis Obispo County, California","3.6","0.5","21.2","3.0","6.7","2.5","19.3","6.3","10.3","15.3","3.9","(X)","3.7","(X)","4.4","(X)",
"0500000US06081","San Mateo County, California","9.5","0.3","23.6","1.4","13.0","1.7","21.4","1.3","16.5","4.2","4.7","(X)","4.8","(X)","5.3","(X)",
"0500000US06083","Santa Barbara County, California","7.9","0.4","24.1","1.4","6.2","1.5","21.4","3.7","26.3","10.0","4.2","(X)","3.6","(X)","4.2","(X)",
"0500000US06085","Santa Clara County, California","11.3","0.2","19.7","0.8","11.0","0.8","27.2","0.7","16.0","2.1","5.1","(X)","5.0","(X)","5.5","(X)",
"0500000US06087","Santa Cruz County, California","6.3","0.6","24.9","2.5","8.5","2.7","24.0","5.5","20.2","13.3","4.3","(X)","4.5","(X)","5.1","(X)",
"0500000US06089","Shasta County, California","1.2","0.3","8.1","3.4","12.2","5.8","21.7","7.8","17.1","15.3","5.0","(X)","4.3","(X)","5.8","(X)",
"0500000US06091","Sierra County, California","3.6","2.5","57.3","27.9","0.0","97.3","-","**","-","**","1.6","(X)","0.3","(X)","0.3","(X)",
"0500000US06093","Siskiyou County, California","1.6","0.4","17.4","5.0","11.9","9.9","25.9","15.0","10.0","11.8","4.9","(X)","7.2","(X)","7.7","(X)",
"0500000US06095","Solano County, California","4.8","0.4","18.6","1.8","10.0","2.6","13.9","1.7","6.6","5.0","5.4","(X)","4.7","(X)","5.2","(X)",
"0500000US06097","Sonoma County, California","4.7","0.4","23.7","2.0","9.3","2.1","21.5","3.7","7.2","5.2","5.9","(X)","6.6","(X)","7.4","(X)",
"0500000US06099","Stanislaus County, California","8.3","0.4","19.7","1.2","18.1","3.2","19.9","3.7","31.7","5.8","3.7","(X)","3.3","(X)","3.7","(X)",
"0500000US06101","Sutter County, California","9.0","1.1","30.2","4.0","23.6","5.2","15.0","7.2","13.4","21.1","4.6","(X)","5.2","(X)","5.6","(X)",
"0500000US06103","Tehama County, California","3.0","0.8","17.3","5.1","9.2","8.5","47.8","21.8","0.0","42.3","3.9","(X)","2.4","(X)","3.1","(X)",
"0500000US06105","Trinity County, California","0.3","0.4","0.7","1.4","0.0","23.6","21.3","36.0","0.0","82.3","2.4","(X)","0.3","(X)","1.0","(X)",
"0500000US06107","Tulare County, California","13.9","0.6","28.8","1.2","13.5","3.7","26.0","6.8","12.0","9.1","4.6","(X)","3.8","(X)","4.9","(X)",
"0500000US06109","Tuolumne County, California","0.5","0.3","11.2","7.2","2.8","4.1","6.7","8.7","0.0","85.4","3.9","(X)","10.4","(X)","10.2","(X)",
"0500000US06111","Ventura County, California","7.0","0.4","20.7","1.0","8.9","1.9","17.7","1.8","18.1","6.3","4.0","(X)","3.7","(X)","4.2","(X)",
"0500000US06113","Yolo County, California","8.4","0.7","24.1","2.5","22.0","4.4","25.4","3.9","13.2","9.2","4.7","(X)","4.1","(X)","4.6","(X)",
"0500000US06115","Yuba County, California","4.7","0.9","19.4","4.7","14.7","10.4","20.8","5.7","0.0","33.2","3.8","(X)","3.4","(X)","4.2","(X)",
