fips5,year,county_name,county_type,ed_visits,ed_visits_resident,ed_rate_facility,ed_rate_residence
06039,2021,MADERA,High MC but OK Access,102214.0,48977.0,654.1486672426482,313.44276983136535
06041,2021,MARIN,Well-Served,64843.0,60267.0,247.18951208633698,229.74523579888762
06043,2021,MARIPOSA,Underserved,5610.0,6353.0,327.47650458233613,370.84816998423906
06045,2021,MENDOCINO,Well-Served,46569.0,43479.0,508.38964640124016,474.6563902140806
06047,2021,MERCED,TRUE DESERT,74974.0,96592.0,266.6197253220105,343.4968456838856
06049,2021,MODOC,Well-Served,5214.0,5034.0,599.3103448275862,578.6206896551724
06051,2021,MONO,Underserved,9416.0,4025.0,713.6036377415687,305.0397877984085
06053,2021,MONTEREY,TRUE DESERT,131829.0,129605.0,300.2699101438382,295.2042547860649
06055,2021,NAPA,Adequate,27182.0,37157.0,196.94389902839464,269.21655714068356
06057,2021,NEVADA,Adequate,33599.0,28555.0,328.6255024892167,279.2910867460217
06059,2021,ORANGE,Adequate,732468.0,650613.0,229.83072737307847,204.14660985651346
06061,2021,PLACER,Well-Served,202594.0,104904.0,500.554678447098,259.1892552978586
06063,2021,PLUMAS,Adequate,9459.0,7886.0,477.96867104598283,398.48408287013643
06065,2021,RIVERSIDE,Underserved,700918.0,706806.0,289.8529268852466,292.28781089949695
06067,2021,SACRAMENTO,Well-Served,481516.0,509556.0,303.7850421594203,321.47528003760124
06069,2021,SAN BENITO,Underserved,19915.0,23649.0,310.1590119765142,368.31285333831704
06071,2021,SAN BERNARDINO,Underserved,696651.0,658541.0,319.32240401090183,301.85400618063176
06073,2021,SAN DIEGO,Well-Served,813212.0,756835.0,246.52992723654702,229.43891319861496
06075,2021,SAN FRANCISCO,Well-Served,187539.0,158815.0,214.58410805924723,181.71780334452754
06077,2021,SAN JOAQUIN,Underserved,317892.0,270079.0,407.9550019057201,346.5959475535559
06079,2021,SAN LUIS OBISPO,Underserved,84392.0,75652.0,298.8131320284395,267.86675353369407
06081,2021,SAN MATEO,Underserved,151396.0,153474.0,198.0477263154039,200.76604896120307
06083,2021,SANTA BARBARA,TRUE DESERT,126174.0,118218.0,281.49450392544884,263.74464838285786
06085,2021,SANTA CLARA,Well-Served,445900.0,403362.0,230.2894395842705,208.32027120338756
06087,2021,SANTA CRUZ,Well-Served,58827.0,57028.0,217.18519831204935,210.5434152572722
06089,2021,SHASTA,Well-Served,69495.0,64092.0,381.51574208778237,351.854190112816
06093,2021,SISKIYOU,Well-Served,18775.0,16991.0,425.9687811961158,385.493238950903
06095,2021,SOLANO,Underserved,173064.0,158813.0,381.6260962180065,350.2009962711498
06097,2021,SONOMA,Well-Served,137996.0,132418.0,282.27949343681155,270.86934376297654
06099,2021,STANISLAUS,Underserved,204343.0,222456.0,369.5987179811821,402.360014325041
06103,2021,TEHAMA,Adequate,26508.0,26793.0,402.67967005423145,407.009068951374
06105,2021,TRINITY,Underserved,4385.0,5020.0,272.1573982125124,311.5690168818272
06107,2021,TULARE,TRUE DESERT,109967.0,129989.0,232.43087861987627,274.7502203471868
06109,2021,TUOLUMNE,Adequate,29579.0,23928.0,531.8051060769508,430.2049622437972
06111,2021,VENTURA,Underserved,202452.0,203110.0,239.91666696293032,240.69643286725136
06113,2021,YOLO,Adequate,46665.0,56467.0,215.63933956553282,260.93446024315745
06115,2021,YUBA,Underserved,55341.0,32154.0,678.406374501992,394.1648789457554
06001,2022,ALAMEDA,Adequate,525950.0,442488.0,312.627611446587,263.01733346093243
06005,2022,AMADOR,Adequate,24996.0,21649.0,617.5816573602807,534.8865938627266
06007,2022,BUTTE,Adequate,76030.0,59975.0,359.2556891207379,283.392870643381
06009,2022,CALAVERAS,Underserved,10190.0,19795.0,224.9845447319615,437.0529011746004
06011,2022,COLUSA,TRUE DESERT,5133.0,9068.0,235.03823435138972,415.22047712807364
06013,2022,CONTRA COSTA,Adequate,329560.0,391871.0,282.6592059365638,336.10251756756645
06015,2022,DEL NORTE,High MC but OK Access,16746.0,14784.0,603.6117218757885,532.8911797570559
06017,2022,EL DORADO,Underserved,44162.0,58805.0,230.99092502026832,307.5816617412454
06019,2022,FRESNO,Well-Served,296483.0,346570.0,293.93924973281224,343.59651575267634
06021,2022,GLENN,TRUE DESERT,6404.0,12314.0,221.46142407580317,425.83947159110556
06023,2022,HUMBOLDT,Well-Served,53712.0,50199.0,393.6011959285667,367.85795417072757
06025,2022,IMPERIAL,TRUE DESERT,76958.0,75172.0,428.25344180921746,418.31476555630985
06027,2022,INYO,Underserved,9969.0,8623.0,524.2427429533026,453.46024400504837
06029,2022,KERN,Underserved,302646.0,306011.0,332.8578420320379,336.5587554372632
06031,2022,KINGS,Underserved,92128.0,56402.0,604.1734978948887,369.8831368125598
06033,2022,LAKE,TRUE DESERT,39002.0,41935.0,572.1872570162698,615.2164664113961
06035,2022,LASSEN,Underserved,10145.0,11133.0,309.9602810876871,340.1466544454629
06037,2022,LOS ANGELES,Adequate,2906065.0,2808224.0,290.19995887760837,280.42954624866024
06039,2022,MADERA,High MC but OK Access,109391.0,55443.0,700.0799974400819,354.82384563693967
06041,2022,MARIN,Well-Served,72673.0,67382.0,277.03843763938073,256.86849318201746
06043,2022,MARIPOSA,Underserved,6498.0,7196.0,379.3123577140856,420.0572062343121
06045,2022,MENDOCINO,Well-Served,52762.0,49367.0,575.9980786235959,538.9351644632701
06047,2022,MERCED,TRUE DESERT,84128.0,111384.0,299.17283660855895,396.09960099857045
06049,2022,MODOC,Well-Served,6136.0,6024.0,705.2873563218391,692.4137931034483
06051,2022,MONO,Underserved,11228.0,4683.0,850.9283819628647,354.9071618037135
06053,2022,MONTEREY,TRUE DESERT,162142.0,159370.0,369.3145193435603,363.0006719282062
06055,2022,NAPA,Adequate,31444.0,42278.0,227.82370543186084,306.32014432795484
06057,2022,NEVADA,Adequate,33160.0,28351.0,324.3317260198942,277.2958010974071
06059,2022,ORANGE,Adequate,832249.0,733236.0,261.139589750702,230.07170718192
06061,2022,PLACER,Well-Served,226325.0,117025.0,559.1875257882241,289.13694998505207
06063,2022,PLUMAS,Adequate,10602.0,8566.0,535.7251136937847,432.84487114704393
06065,2022,RIVERSIDE,Underserved,806057.0,814571.0,333.3314035113112,336.85222594631927
06067,2022,SACRAMENTO,Well-Served,509005.0,546487.0,321.1276580307939,344.774786994773
06069,2022,SAN BENITO,Underserved,21491.0,27073.0,334.7038577146506,421.6387110841159
06071,2022,SAN BERNARDINO,Underserved,768900.0,728441.0,352.43902103633303,333.8939171839347
06073,2022,SAN DIEGO,Well-Served,888505.0,828521.0,269.35543621996254,251.17093924333528
06075,2022,SAN FRANCISCO,Well-Served,209709.0,179427.0,239.95125662927006,205.3022718301076
06077,2022,SAN JOAQUIN,Underserved,357539.0,303986.0,458.8345206119351,390.10924845328674
06079,2022,SAN LUIS OBISPO,Underserved,97344.0,84634.0,344.6732572302637,299.66999971673795
06081,2022,SAN MATEO,Underserved,179742.0,181126.0,235.12836814303768,236.93883904861323
06083,2022,SANTA BARBARA,TRUE DESERT,139938.0,133470.0,312.2020217344259,297.77189784685953
06085,2022,SANTA CLARA,Well-Served,535258.0,488624.0,276.4392573514184,252.3546694941121
06087,2022,SANTA CRUZ,Well-Served,67425.0,64681.0,248.9284171586164,238.7977597365438
06089,2022,SHASTA,Well-Served,72118.0,67485.0,395.9155664132195,370.48118360736737
06093,2022,SISKIYOU,Well-Served,20063.0,18230.0,455.191033669117,413.60377529721393
06095,2022,SOLANO,Underserved,197637.0,182719.0,435.81239759995236,402.9164856634421
06097,2022,SONOMA,Well-Served,155294.0,152235.0,317.66363991547735,311.4062631043871
06099,2022,STANISLAUS,Underserved,232722.0,253195.0,420.92830606390555,457.9581752212966
06103,2022,TEHAMA,Adequate,28962.0,29303.0,439.95807318962767,445.13816099287544
06105,2022,TRINITY,Underserved,4356.0,5145.0,270.35749751737836,319.32720953326714
06107,2022,TULARE,TRUE DESERT,128359.0,152084.0,271.30498375666065,321.45114210649797
06109,2022,TUOLUMNE,Adequate,31058.0,25363.0,558.3962603380079,456.00503416037395
06111,2022,VENTURA,Underserved,248440.0,247842.0,294.41495633666455,293.7062937062937
06113,2022,YOLO,Adequate,51478.0,62266.0,237.88025119799633,287.73168578993824
06115,2022,YUBA,Underserved,63625.0,37473.0,779.9570946981306,459.3686791296353
