county,year,total_op_revenue,total_op_expense,total_net_patient_rev,total_discharges,total_patient_days,total_ed_visits,total_medi_cal_rev,n_hospitals,operating_margin,cost_per_discharge,cost_per_patient_day,ed_per_discharge,ed_per_patient_day,medi_cal_rev_share
SACRAMENTO,2017,5519367255.0,5095653910.0,5434606984.0,23360.0,862878.0,583735.0,1418464465.0,16,0.07676846374304186,218135.86943493152,5905.416420397785,24.98865582191781,0.6764977204193409,0.26100589595091134
SACRAMENTO,2018,5866670759.0,5329603478.0,5777248286.0,30374.0,871632.0,579301.0,1570620207.0,16,0.09154549540317915,175465.97346414695,6114.511029884171,19.072265753605055,0.6646164895276906,0.27186302704110576
SACRAMENTO,2019,6048788330.0,5705856504.0,5949218467.0,23855.0,871231.0,577670.0,1551599010.0,16,0.05669430095597344,239189.1219450849,6549.189025643027,24.215887654579753,0.6630503276398567,0.2608071999047669
SACRAMENTO,2020,6280572345.0,6128906795.0,6007594666.0,20971.0,835910.0,482675.0,1597492486.0,16,0.024148364459290375,292256.2965523819,7332.017555717721,23.016308235181917,0.577424603127131,0.26591216199072376
SACRAMENTO,2021,8520515469.0,7988751925.0,8103374247.0,23596.0,874783.0,476136.0,1894858115.0,18,0.0624097856443901,338563.8211985082,9132.26700221655,20.178674351585013,0.5442904125937518,0.233835690817502
SACRAMENTO,2022,8617596233.0,8551635679.0,8215240624.0,20239.0,922654.0,534098.0,1859769082.0,18,0.007654170863495828,422532.52033203223,9268.51851181483,26.38954493799101,0.578871386240129,0.22638035416356175
SACRAMENTO,2023,9694484079.0,9474602112.0,9221104762.0,21714.0,992110.0,556258.0,2089874968.0,20,0.02268114168925234,436336.1016855485,9549.95122718247,25.61748180897117,0.5606817792381893,0.22664041044326225
SAN BERNARDINO,2012,0.0,0.0,0.0,52388.0,0.0,0.0,0.0,15,,0.0,,0.0,,
SAN BERNARDINO,2013,0.0,0.0,0.0,49959.0,0.0,0.0,0.0,15,,0.0,,0.0,,
SAN BERNARDINO,2014,3596683701.0,3514942046.0,3458720209.0,30800.0,918653.0,672377.0,1178783964.0,17,0.022726951212661,114121.495,3826.19122345434,21.830422077922076,0.7319161859809961,0.34081506822456015
SAN BERNARDINO,2015,4098896390.0,3883838716.0,3874896538.0,39622.0,959650.0,691716.0,1736969207.0,18,0.052467213985860225,98022.27843117459,4047.1408492679625,17.457876937055172,0.7208002917730423,0.4482620864753525
SAN BERNARDINO,2016,4133001214.0,3987565703.0,4024590586.0,22150.0,941900.0,696784.0,1675850948.0,17,0.0351888382000364,180025.5396388262,4233.534030151821,31.457516930022575,0.7397643061896167,0.4164028395409063
SAN BERNARDINO,2017,3282658447.0,3280311424.0,3246872690.0,21585.0,830262.0,680009.0,1276700363.0,17,0.0007149763028635918,151971.80560574474,3950.9352758526825,31.503775770210794,0.8190294148112283,0.3932092462177813
SAN BERNARDINO,2018,4459523109.0,4385911929.0,4405629237.0,26046.0,951754.0,714426.0,1930543206.0,17,0.01650651385827363,168390.99781156416,4608.241130586265,27.42939414881364,0.7506414472647344,0.438199199738968
SAN BERNARDINO,2019,4604061923.0,4499148710.0,4506488604.0,41155.0,983191.0,715671.0,2053431683.0,17,0.022787098600020286,109322.04373709149,4576.067834225496,17.389648888348926,0.7279063783130643,0.45566112852861884
SAN BERNARDINO,2020,4750313891.0,4702520754.0,4508986901.0,37497.0,998473.0,633806.0,2115366759.0,17,0.010061048195267566,125410.58628690295,4709.712484964541,16.90284556097821,0.6347753018859799,0.46914457847079916
SAN BERNARDINO,2021,6669489542.0,6428956466.0,6242360311.0,36096.0,990761.0,594398.0,2245641721.0,17,0.03606469048122544,178107.171597961,6488.907482228307,16.467143173758867,0.5999408535459106,0.3597424065770176
SAN BERNARDINO,2022,6808907721.0,6853273438.0,6476888961.0,35205.0,1009149.0,669051.0,2369366221.0,17,-0.006515834670980702,194667.61647493253,6791.141286370992,19.0044311887516,0.6629853470597503,0.3658185643241569
SAN BERNARDINO,2023,7313217377.0,7255901744.0,6885970306.0,14371.0,1030201.0,736034.0,2591367654.0,17,0.00783726642397601,504898.8757915246,7043.190352173993,51.21661679771763,0.7144566934025496,0.3763257084832396
SAN DIEGO,2012,0.0,0.0,0.0,115113.0,0.0,0.0,0.0,23,,0.0,,0.0,,
SAN DIEGO,2013,0.0,0.0,0.0,114936.0,0.0,0.0,0.0,22,,0.0,,0.0,,
SAN DIEGO,2014,7153088540.0,6498012585.0,6873423634.0,83003.0,1511644.0,820524.0,1355507367.0,22,0.09157945569061836,78286.47862125466,4298.639484561179,9.885474019011362,0.5428024058574638,0.19720992611234706
SAN DIEGO,2015,8190030212.0,7176962006.0,7908468896.0,61498.0,1527950.0,886696.0,2163747932.0,22,0.12369529535015103,116702.36440209438,4697.118365129749,14.418290025691892,0.580317418763703,0.2735988420077615
SAN DIEGO,2016,8325602154.0,7470859562.0,8062532414.0,88190.0,1561757.0,903661.0,1910153858.0,22,0.10266435702663772,84713.22782628416,4783.6248289586665,10.246751332350607,0.5786181845191025,0.2369173554804142
SAN DIEGO,2017,8436869819.0,7825191726.0,8146683336.0,56697.0,1559574.0,950195.0,1895767037.0,21,0.07250059632572363,138017.7386105085,5017.5187108787395,16.759175970509904,0.6092657353867146,0.23270415196116076
SAN DIEGO,2018,9406229290.0,8582289426.0,9104260517.0,27653.0,1581255.0,949593.0,2499174932.0,21,0.08759512856825118,310356.5409178028,5427.5176527505055,34.339601489892594,0.6005312236166842,0.27450608726907544
SAN DIEGO,2019,9535688633.0,8931788111.0,9186389119.0,18395.0,1593034.0,898082.0,2272216609.0,21,0.0633305621903479,485555.2112530579,5606.778079438354,48.82207121500408,0.5637557013849045,0.24734600065007326
SAN DIEGO,2020,10269631320.0,9707627822.0,9602344184.0,38808.0,1547604.0,821109.0,2601746208.0,21,0.05472479785184733,250145.01705833848,6272.682043985412,21.158240568954856,0.530567897214016,0.270949068076021
SAN DIEGO,2021,12139041511.0,11434260944.0,11370738907.0,61941.0,1606625.0,769054.0,2683291003.0,22,0.058058996368152385,184599.23062268933,7116.944491713996,12.415911916178299,0.4786767291682876,0.23598211382271078
SAN DIEGO,2022,13032335751.0,12375327341.0,12282047709.0,45076.0,1668548.0,898915.0,2930696967.0,22,0.050413711137666656,274543.6006078623,7416.8242933376805,19.94220871417162,0.5387408693067266,0.2386163151648119
SAN DIEGO,2023,13889026178.0,13089815184.0,13163973467.0,32982.0,1681293.0,918377.0,3145693704.0,22,0.05754262276976176,396877.54484264145,7785.564552995819,27.844794130131586,0.5462325721929491,0.2389623248547072
SAN FRANCISCO,2012,0.0,0.0,0.0,54235.0,0.0,0.0,0.0,11,,0.0,,0.0,,
SAN FRANCISCO,2013,0.0,0.0,0.0,25991.0,0.0,0.0,0.0,10,,0.0,,0.0,,
SAN FRANCISCO,2014,5176354524.0,5038535474.0,5007479010.0,38649.0,1011748.0,257401.0,989550937.0,11,0.02662473162551105,130366.5159253797,4980.030080612959,6.6599653289865195,0.254412165875297,0.19761459509343005
SAN FRANCISCO,2015,5430242971.0,5545166084.0,5268118446.0,35999.0,1010327.0,285034.0,1143547893.0,11,-0.021163530548033004,154036.67001861162,5488.486484078917,7.917831050862524,0.28212054117132374,0.21706951062732427
SAN FRANCISCO,2016,5897658400.0,6194607546.0,5732887750.0,38739.0,1034877.0,308538.0,1324550310.0,11,-0.05035034684274016,159906.2326337799,5985.839424395363,7.964531867110663,0.2981397789302497,0.23104417315688763
SAN FRANCISCO,2017,6088445232.0,6762007447.0,5926809463.0,38217.0,1018751.0,273322.0,1348860202.0,11,-0.11062959250415082,176937.1600858257,6637.54680682522,7.151843420467332,0.268291270388937,0.22758622669088494
