fips5,year,pqi_mean_rate,pqi_sum_count,pqi_sum_population
06025,2017,214.80714285714288,4426.0,124743.30769230769
06025,2018,206.59285714285716,4348.0,119947.28571428571
06025,2019,198.97857142857143,4242.0,119755.07142857143
06025,2020,149.80714285714288,3227.0,124035.61538461539
06025,2021,143.14285714285714,3122.0,124119.23076923077
06025,2022,165.35714285714286,3611.0,124147.0
06025,2023,181.62142857142857,3689.0,124434.69230769231
06025,2024,174.03076923076924,3788.0,126711.92307692308
06027,2005,217.8,619.0,13309.2
06027,2006,216.53125,602.0,12649.875
06027,2007,202.4875,575.0,12692.375
06027,2008,193.75625,537.0,13247.6
06027,2009,182.3875,510.0,13392.533333333333
06027,2010,170.35,465.0,13407.8
06027,2011,142.3125,405.0,12811.25
06027,2012,157.1875,456.0,14243.625
06027,2013,119.0,345.0,14772.133333333333
06027,2014,148.7,429.0,13764.375
06027,2015,131.96875,293.0,11212.6875
06027,2016,125.13571428571429,255.0,13196.214285714286
06027,2017,197.20714285714286,393.0,13842.692307692309
06027,2018,200.52142857142857,394.0,13881.615384615385
06027,2019,241.57142857142858,499.0,13273.92857142857
06027,2020,188.30714285714288,409.0,14053.0
06027,2021,152.81428571428572,331.0,14002.857142857143
06027,2022,119.42142857142858,253.0,14136.76923076923
06027,2023,152.1142857142857,398.0,13797.642857142857
06027,2024,132.32142857142858,323.0,13806.92857142857
06029,2005,397.11875,25391.0,460628.25
06029,2006,371.825,24428.0,476108.3125
06029,2007,380.5375,25627.0,488107.5
06029,2008,377.925,25955.0,497592.625
06029,2009,377.88750000000005,26445.0,505833.4375
06029,2010,375.2125,26958.0,514310.75
06029,2011,374.525,27465.0,522918.8125
06029,2012,343.0375,25324.0,504343.375
06029,2013,326.65,24731.0,510982.1875
06029,2014,299.36875000000003,23325.0,544309.4375
06029,2015,310.95625,18336.0,386117.5625
06029,2016,268.6642857142857,23885.0,579170.4285714285
06029,2017,279.31428571428575,25478.0,584213.5
06029,2018,247.77142857142854,23314.0,589895.4285714285
06029,2019,260.10714285714283,25021.0,594647.8571428572
06029,2020,216.40714285714284,21287.0,598298.0714285715
06029,2021,198.43571428571428,19984.0,604783.2142857143
06029,2022,201.52142857142857,20456.0,608914.4285714285
06029,2023,225.04285714285714,21262.0,607371.1428571428
06029,2024,230.58571428571432,21706.0,617768.3571428572
06031,2005,347.30625,3860.0,91656.625
06031,2006,318.41875,3661.0,93558.25
06031,2007,325.94375,3829.0,98017.0
06031,2008,320.01875,3807.0,99091.06666666667
06031,2009,358.325,4327.0,96181.0625
06031,2010,354.73125,4357.0,96722.4375
06031,2011,375.6625,4673.0,97413.9375
06031,2012,337.8125,4211.0,94056.1875
06031,2013,325.4875,4117.0,93662.875
06031,2014,275.23125,3637.0,100042.0
06031,2015,274.3125,2690.0,69115.4375
06031,2016,335.34285714285716,3891.0,104541.15384615384
06031,2017,316.2,3670.0,100939.42857142857
06031,2018,268.90714285714284,3265.0,106046.30769230769
06031,2019,285.7714285714286,3573.0,107389.61538461539
06031,2020,244.5,3061.0,107494.15384615384
06031,2021,236.62857142857143,3002.0,103631.35714285714
06031,2022,255.05,3296.0,108058.46153846153
06031,2023,196.59285714285716,3031.0,107895.46153846153
06031,2024,208.54615384615383,2993.0,110046.15384615384
06033,2005,310.4,2678.0,45253.0
06033,2006,312.35,2700.0,45662.933333333334
06033,2007,301.31874999999997,2621.0,45802.666666666664
06033,2008,294.7375,2600.0,46147.86666666667
06033,2009,323.9,2845.0,44384.3125
06033,2010,376.475,3356.0,44760.1875
06033,2011,369.61875,3348.0,44703.5
06033,2012,346.25,3126.0,45067.1875
06033,2013,335.10625,3093.0,45136.6875
06033,2014,290.20625,2718.0,48383.13333333333
06033,2015,287.14375,2067.0,35609.6
06033,2016,369.0214285714286,3076.0,49535.38461538462
06033,2017,282.65714285714284,2308.0,49567.0
06033,2018,296.89285714285717,2487.0,49701.692307692305
06033,2019,312.42142857142863,2646.0,49666.769230769234
06033,2020,200.42857142857142,1853.0,52287.692307692305
06033,2021,183.87142857142857,1728.0,52475.307692307695
06033,2022,186.2642857142857,1772.0,52095.769230769234
06033,2023,195.27142857142854,2122.0,51763.0
06033,2024,216.6307692307692,2146.0,51720.46153846154
06035,2005,256.80625,819.0,25018.133333333335
06035,2006,299.3375,958.0,25205.066666666666
06035,2007,279.0625,928.0,26198.6
06035,2008,277.7375,918.0,25875.933333333334
06035,2009,289.7125,980.0,25921.2
06035,2010,300.84375,1024.0,25737.6
06035,2011,257.9125,877.0,25460.733333333334
06035,2012,234.9375,808.0,26289.266666666666
06035,2013,236.58125,797.0,25086.133333333335
06035,2014,235.55625,836.0,26414.266666666666
06035,2015,245.6625,640.0,18710.466666666667
06035,2016,241.7357142857143,734.0,23565.285714285714
06035,2017,245.40714285714284,737.0,23748.214285714286
06035,2018,211.15,681.0,24509.0
06035,2019,196.58571428571432,632.0,24532.153846153848
06035,2020,134.9,439.0,25872.846153846152
06035,2021,146.11428571428573,491.0,25371.30769230769
06035,2022,170.0,567.0,23658.153846153848
06035,2023,115.53571428571429,511.0,22701.69230769231
06035,2024,144.63846153846154,505.0,22276.076923076922
06037,2005,355.775,329443.0,6302683.9375
06037,2006,335.4875,314153.0,6308126.9375
06037,2007,332.91875,316335.0,6320732.6875
06037,2008,332.05,319884.0,6371467.1875
06037,2009,323.84375,317467.0,6435213.875
06037,2010,310.85,311116.0,6490109.5
06037,2011,302.48125,309499.0,6566630.3125
06037,2012,281.5375,292507.0,6403790.6875
06037,2013,261.71875,277662.0,6484835.1875
06037,2014,248.08125,264853.0,6584971.9375
06037,2015,248.03749999999997,206724.0,4919866.5
06037,2016,308.3,251958.0,7284602.0
06037,2017,296.99285714285713,247747.0,7308484.857142857
06037,2018,277.45,236865.0,7316756.571428572
06037,2019,279.09285714285716,241813.0,7309611.214285715
06037,2020,212.62857142857143,187755.0,7321511.785714285
06037,2021,216.89285714285714,193727.0,7217201.642857143
06037,2022,237.52142857142857,212685.0,7184688.642857143
06037,2023,222.32142857142858,236881.0,7159819.642857143
06037,2024,234.20000000000002,245441.0,7254216.357142857
06039,2005,327.44375,4467.0,87547.5625
06039,2006,285.38125,3976.0,89557.3125
06039,2007,263.96875,3754.0,94301.13333333333
06039,2008,257.67499999999995,3734.0,92677.9375
06039,2009,277.84375,4063.0,93345.375
06039,2010,278.8,4174.0,98084.06666666667
06039,2011,263.375,4027.0,99460.46666666666
06039,2012,237.075,3662.0,96894.53333333334
06039,2013,249.58125,3920.0,97198.66666666667
06039,2014,233.56875000000002,3812.0,103122.6
06039,2015,235.46875,2881.0,73831.13333333333
06039,2016,235.15,3297.0,107606.84615384616
06039,2017,249.75,3511.0,108719.30769230769
06039,2018,243.94285714285712,3535.0,105341.78571428571
06039,2019,222.85714285714286,3316.0,110227.84615384616
06039,2020,210.92142857142858,3134.0,109944.23076923077
06039,2021,212.8857142857143,3256.0,112080.76923076923
06039,2022,235.62142857142857,3630.0,113181.61538461539
06039,2023,207.17142857142858,4441.0,110448.0
06039,2024,212.1076923076923,4217.0,117602.84615384616
06041,2005,182.56875,6038.0,170490.25
06041,2006,164.775,5485.0,170601.5
06041,2007,153.13125,5225.0,179378.13333333333
06041,2008,155.725,5393.0,180922.6
06041,2009,146.31875000000002,5168.0,182792.4
06041,2010,138.4875,4977.0,184346.73333333334
06041,2011,121.06875000000001,4446.0,185933.66666666666
06041,2012,115.86250000000001,4311.0,183292.4
06041,2013,108.35624999999999,4161.0,185255.33333333334
06041,2014,94.40625,3629.0,184816.93333333332
06041,2015,103.64375,3094.0,140238.86666666667
06041,2016,184.57857142857145,3717.0,203167.61538461538
06041,2017,173.18571428571428,3492.0,202995.15384615384
06041,2018,165.8642857142857,3403.0,192979.42857142858
06041,2019,149.67142857142858,3177.0,203646.61538461538
06041,2020,117.45,2553.0,194991.64285714287
06041,2021,124.09285714285714,2693.0,205200.84615384616
06041,2022,146.0,3208.0,203581.76923076922
06041,2023,118.52142857142857,3393.0,202086.61538461538
06041,2024,145.13846153846154,3815.0,204328.15384615384
06043,2005,205.46249999999998,541.0,12658.625
06043,2006,263.3875,696.0,12887.75
06043,2007,243.36874999999998,658.0,13040.9375
06043,2008,285.0,775.0,13749.866666666667
06043,2009,203.2375,569.0,13060.3125
06043,2010,189.94375,528.0,13768.333333333334
06043,2011,183.88125,527.0,13778.666666666666
06043,2012,171.8875,517.0,14493.25
06043,2013,170.6,513.0,15029.133333333333
06043,2014,175.81875000000002,546.0,14293.125
06043,2015,199.6,462.0,11737.466666666667
06043,2016,213.22142857142856,468.0,13590.57142857143
06043,2017,221.10714285714286,489.0,13570.142857142857
06043,2018,211.97857142857143,472.0,13489.357142857143
06043,2019,290.8285714285714,645.0,14047.615384615385
06043,2020,249.93571428571428,556.0,13943.538461538461
06043,2021,200.54285714285714,464.0,13111.42857142857
06043,2022,185.20714285714286,438.0,13034.357142857143
06043,2023,204.46428571428572,563.0,13602.461538461539
06043,2024,163.60000000000002,467.0,13811.615384615385
06045,2005,221.71875,2420.0,61655.8
06045,2006,229.9375,2541.0,61454.8
06045,2007,216.06875,2434.0,61562.86666666667
06045,2008,199.05625,2283.0,61967.6
06045,2009,220.975,2541.0,62326.8
06045,2010,222.9375,2578.0,62427.53333333333
06045,2011,233.14999999999998,2722.0,62279.73333333333
06045,2012,210.46875,2529.0,62303.46666666667
06045,2013,198.975,2432.0,62339.13333333333
06045,2014,196.8375,2410.0,63207.933333333334
06045,2015,164.95625,1553.0,46979.4
06045,2016,195.45000000000002,2077.0,66739.61538461539
06045,2017,204.25714285714284,2189.0,67109.69230769231
06045,2018,221.3642857142857,2373.0,67212.23076923077
06045,2019,211.03571428571428,2347.0,66911.07692307692
06045,2020,176.60714285714286,2087.0,70286.23076923077
06045,2021,140.05,1702.0,70220.23076923077
06045,2022,157.87857142857143,1922.0,69425.84615384616
06045,2023,146.7357142857143,2150.0,68974.07692307692
06045,2024,164.04615384615383,2212.0,69244.61538461539
06047,2005,339.6,6821.0,142459.0
06047,2006,336.1625,6834.0,144396.0625
06047,2007,336.74375,7075.0,146772.75
06047,2008,329.8625,6990.0,148532.125
06047,2009,327.41875,7101.0,150348.3125
06047,2010,347.70625,7753.0,153343.5
06047,2011,331.7125,7637.0,156448.0
06047,2012,282.45625,6587.0,152498.8125
06047,2013,281.29375,6705.0,154081.25
06047,2014,265.5,6462.0,161787.8125
06047,2015,314.45625,5909.0,117017.75
06047,2016,386.60714285714283,8744.0,173994.7857142857
06047,2017,421.0142857142857,9575.0,176498.2142857143
06047,2018,412.0142857142857,9732.0,179224.5
06047,2019,374.5285714285714,9053.0,182047.35714285713
06047,2020,286.0642857142857,7202.0,185393.92857142858
06047,2021,306.0,7994.0,194784.6923076923
06047,2022,303.40714285714284,7986.0,192306.2142857143
06047,2023,233.55,8117.0,194090.0
06047,2024,235.27142857142857,8151.0,198916.7142857143
06049,2005,151.5375,200.0,6776.133333333333
06049,2006,150.60625,200.0,6603.933333333333
06049,2007,175.19375,235.0,6574.933333333333
06049,2008,170.15,231.0,6836.266666666666
06049,2009,225.79375,317.0,6619.5625
06049,2010,218.7375,303.0,6953.733333333334
06049,2011,198.2,288.0,6577.625
06049,2012,236.55,341.0,8376.6
06049,2013,218.075,322.0,7998.75
06049,2014,156.03125,208.0,7958.0
06049,2015,197.63125,217.0,6688.4
06049,2016,156.20714285714286,253.0,6659.714285714285
06049,2017,151.5,241.0,6969.846153846154
06049,2018,138.14285714285714,226.0,6666.846153846154
06049,2019,159.37857142857143,245.0,7114.0
06049,2020,157.04285714285714,261.0,6498.142857142857
06049,2021,101.71428571428571,173.0,6607.307692307692
06049,2022,112.32142857142857,187.0,6818.076923076923
06049,2023,130.37142857142857,244.0,6412.714285714285
06049,2024,201.75714285714284,272.0,6427.571428571428
06051,2005,87.3125,90.0,9763.714285714286
06051,2006,38.5875,42.0,9980.142857142857
06051,2007,68.48125,79.0,9584.866666666667
06051,2008,60.43125,69.0,10114.285714285714
06051,2009,52.20625,65.0,9885.933333333332
06051,2010,46.58125,61.0,10039.533333333333
06051,2011,41.80625,59.0,10096.466666666667
06051,2012,40.5125,59.0,11856.333333333334
06051,2013,52.150000000000006,85.0,11367.0625
06051,2014,71.325,105.0,11207.2
06051,2015,49.0375,58.0,9401.0
06051,2016,92.55714285714285,99.0,11041.538461538461
06051,2017,88.67142857142858,87.0,11686.0
06051,2018,79.35000000000001,83.0,11760.0
06051,2019,119.42857142857143,134.0,11882.0
06051,2020,121.09285714285714,123.0,10909.333333333334
06051,2021,96.17857142857143,109.0,10454.692307692309
06051,2022,95.8,106.0,10255.153846153846
06051,2023,81.32142857142857,96.0,10809.0
06051,2024,83.39230769230768,109.0,10199.307692307691
06053,2005,267.6875,10415.0,257825.5625
06053,2006,259.05,10119.0,256248.375
06053,2007,235.06875,9351.0,256993.9375
06053,2008,237.56875000000002,9512.0,259154.9375
06053,2009,227.275,9261.0,262083.375
06053,2010,223.15625,9317.0,266330.0
06053,2011,225.1875,9547.0,269571.0625
06053,2012,202.98125,8767.0,264234.5
06053,2013,203.89999999999998,8991.0,266272.5
06053,2014,173.77499999999998,7695.0,267692.625
06053,2015,186.78125,6444.0,200659.75
06053,2016,255.10714285714286,8329.0,296109.35714285716
06053,2017,276.9785714285714,9139.0,296580.14285714284
06053,2018,283.9857142857143,9661.0,296923.71428571426
06053,2019,296.29285714285714,10220.0,297691.64285714284
06053,2020,225.87857142857143,7992.0,301717.0
06053,2021,226.42142857142858,8163.0,302197.0714285714
06053,2022,252.05714285714288,9117.0,299818.0714285714
06053,2023,245.54999999999998,10368.0,298122.5
06053,2024,260.06428571428575,10629.0,303132.14285714284
06055,2005,238.725,3976.0,90580.2
06055,2006,221.275,3743.0,91465.8
06055,2007,230.31875,3981.0,92500.06666666667
06055,2008,225.7375,3934.0,93640.53333333334
06055,2009,231.11875,4057.0,94514.4
06055,2010,237.18124999999998,4191.0,92146.625
06055,2011,225.43125,4054.0,93184.0625
06055,2012,200.425,3659.0,96593.06666666667
06055,2013,186.71249999999998,3489.0,97818.73333333334
06055,2014,181.38125000000002,3358.0,98878.46666666666
06055,2015,158.64375,2311.0,75015.06666666667
06055,2016,258.6714285714286,2905.0,107845.0
06055,2017,242.52142857142857,2740.0,107598.76923076923
06055,2018,243.39285714285714,2823.0,102164.21428571429
06055,2019,228.03571428571428,2663.0,106936.46153846153
06055,2020,158.32857142857142,1868.0,107173.15384615384
06055,2021,158.0,1893.0,101803.92857142857
06055,2022,178.37857142857143,2151.0,105723.53846153847
06055,2023,183.57857142857145,2486.0,105123.0
06055,2024,207.3692307692308,2573.0,105418.15384615384
06057,2005,230.16875,3234.0,70582.33333333333
06057,2006,230.9,3309.0,71156.26666666666
06057,2007,226.23125,3307.0,71574.13333333333
06057,2008,213.1875,3143.0,72145.86666666667
06057,2009,192.80625,2848.0,72784.93333333333
06057,2010,181.9625,2761.0,73338.8
06057,2011,179.68125,2774.0,73614.46666666666
06057,2012,171.5375,2699.0,73566.53333333334
06057,2013,178.175,2831.0,70616.3125
06057,2014,164.91875,2657.0,75581.33333333333
06057,2015,177.775,2199.0,55968.13333333333
06057,2016,217.29999999999998,2278.0,80003.76923076923
06057,2017,204.5142857142857,2137.0,80579.46153846153
06057,2018,208.16428571428574,2232.0,80744.46153846153
06057,2019,228.29999999999998,2472.0,81063.69230769231
06057,2020,168.72142857142856,1961.0,83284.53846153847
06057,2021,166.84285714285716,1967.0,79987.14285714286
06057,2022,173.20714285714286,2045.0,83488.69230769231
06057,2023,141.65714285714287,2199.0,78815.28571428571
06057,2024,161.2846153846154,2163.0,83491.76923076923
06059,2005,252.025,73423.0,1908203.5
06059,2006,238.25625000000002,70519.0,1912141.5
06059,2007,245.81875,74183.0,1920562.5625
06059,2008,241.9625,74386.0,1942592.5
06059,2009,228.63125,71819.0,1968062.0
06059,2010,220.40625,70843.0,1994458.75
06059,2011,208.4,68995.0,2029797.9375
06059,2012,194.14375,65447.0,1986770.375
06059,2013,181.61875,62813.0,2015951.4375
06059,2014,167.45625,58345.0,2039107.0
06059,2015,168.475,46093.0,1535402.4375
06059,2016,240.65714285714284,56201.0,2276735.5
06059,2017,236.97857142857143,56273.0,2291224.9285714286
06059,2018,223.29999999999998,54689.0,2300224.6428571427
06059,2019,220.96428571428572,55041.0,2304584.285714286
06059,2020,167.41428571428574,42529.0,2321912.3571428573
06059,2021,164.27857142857144,42442.0,2314390.0
06059,2022,180.9928571428571,47365.0,2318333.6428571427
06059,2023,199.39285714285714,55038.0,2312026.785714286
06059,2024,187.95714285714286,56927.0,2346992.1428571427
06061,2005,212.25625,7742.0,204736.125
06061,2006,211.73749999999998,8171.0,211557.6875
06061,2007,202.58125,8105.0,216797.6875
06061,2008,189.09375,7776.0,222904.5625
06061,2009,177.11875,7569.0,237025.2
06061,2010,165.0125,7271.0,232578.25
06061,2011,152.825,7020.0,238565.25
06061,2012,147.625,6929.0,235585.75
06061,2013,143.81875,6992.0,240764.125
06061,2014,123.1875,6228.0,265808.8
06061,2015,135.6875,5280.0,193220.33333333334
06061,2016,250.72142857142856,6635.0,286341.3846153846
06061,2017,230.07142857142858,6162.0,277699.5
06061,2018,213.0142857142857,5953.0,283480.78571428574
06061,2019,216.55714285714288,6204.0,288736.5
06061,2020,185.15714285714284,5484.0,293962.5
06061,2021,191.83571428571426,5820.0,315191.07692307694
06061,2022,204.17857142857142,6369.0,319596.3846153846
06061,2023,203.33571428571432,7726.0,308717.5
06061,2024,208.70000000000002,8226.0,316960.4285714286
06063,2005,322.50625,956.0,15362.666666666666
06063,2006,276.0375,813.0,15209.2
06063,2007,302.98125,909.0,15221.933333333332
06063,2008,266.175,799.0,15148.933333333332
06063,2009,292.13125,893.0,15024.333333333334
06063,2010,244.075,755.0,14273.0
06063,2011,272.6,860.0,14210.9375
06063,2012,206.88125,653.0,15365.375
06063,2013,194.30625,612.0,15075.625
06063,2014,227.35,724.0,15532.266666666666
06063,2015,209.0,500.0,12040.733333333334
06063,2016,286.15,658.0,14388.214285714286
06063,2017,226.39285714285714,521.0,14377.357142857143
06063,2018,293.7857142857143,673.0,15294.615384615385
06063,2019,227.70714285714286,547.0,15451.461538461539
06063,2020,167.06428571428572,413.0,15948.692307692309
06063,2021,121.50714285714285,320.0,15303.785714285714
06063,2022,132.11428571428573,337.0,14932.357142857143
06063,2023,151.17142857142858,471.0,15609.846153846154
06063,2024,102.38571428571429,335.0,14594.357142857143
06065,2005,321.825,61661.0,1194665.125
06065,2006,297.20625,59363.0,1245287.875
06065,2007,295.50625,60911.0,1285247.375
06065,2008,286.66875,60652.0,1310572.4375
06065,2009,270.56875,58938.0,1341113.5
06065,2010,262.125,59145.0,1382357.375
06065,2011,256.48125,59541.0,1416067.9375
06065,2012,243.275,57630.0,1381699.8125
06065,2013,243.5125,59524.0,1407328.4375
06065,2014,229.66875,57941.0,1507840.6875
