fips5,year,medi_cal_enrollment,population,medi_cal_share
06021,2020,9130.0,28917.0,0.3157312307639105
06021,2021,9650.5,28816.0,0.3349007495835647
06021,2022,10140.0,28821.0,0.35182679296346414
06023,2019,48050.57142857143,,
06023,2020,49825.083333333336,136463.0,0.36511789520480525
06023,2021,55095.166666666664,135477.0,0.40667542584104066
06023,2022,57373.5,134861.0,0.42542692105204616
06025,2019,90779.42857142857,,
06025,2020,92091.5,179702.0,0.512467863462844
06025,2021,96261.41666666667,180496.0,0.5333160660993411
06025,2022,101459.0,180753.0,0.5613129519288753
06027,2019,2747.285714285714,,
06027,2020,3537.4166666666665,19016.0,0.1860231734679568
06027,2021,3640.3333333333335,18982.0,0.19177817581568504
06027,2022,3662.1666666666665,18921.0,0.19355037612529288
06029,2019,409280.0,,
06029,2020,420486.1666666667,909235.0,0.46246148318824803
06029,2021,460435.0833333333,906122.0,0.5081380689723164
06029,2022,482063.6666666667,910744.0,0.529307540501685
06031,2019,56434.857142857145,,
06031,2020,57347.25,152486.0,0.37608206655037185
06031,2021,60571.166666666664,151167.0,0.40069040641586234
06031,2022,62236.333333333336,151921.0,0.4096624780861983
06033,2019,28098.0,,
06033,2020,26756.0,68163.0,0.3925296715226736
06033,2021,31108.25,67821.0,0.4586816767667832
06033,2022,32663.333333333332,67676.0,0.4826427881868511
06035,2019,6880.0,,
06035,2020,6943.0,32730.0,0.21212954476015888
06035,2021,7919.0,31014.0,0.2553362997356033
06035,2022,8401.333333333334,29889.0,0.28108445693510437
06037,2019,3777799.4285714286,,
06037,2020,3819645.0,10014009.0,0.38143015449656575
06037,2021,4126029.8333333335,9966353.0,0.41399595552488794
06037,2022,4278857.666666667,9870212.0,0.4335122352657336
06039,2019,69971.28571428571,,
06039,2020,70543.58333333333,156255.0,0.4514644864697663
06039,2021,71910.25,156187.0,0.46041123781108545
06039,2022,75762.66666666667,157685.0,0.48046844447263004
06041,2019,43498.42857142857,,
06041,2020,45372.166666666664,262321.0,0.172964294382328
06041,2021,50712.916666666664,260112.0,0.19496569426503454
06041,2022,53128.666666666664,256512.0,0.20711961493679307
06043,2019,3311.8571428571427,,
06043,2020,2855.4166666666665,17131.0,0.1666812600937871
06043,2021,3583.3333333333335,17066.0,0.2099691394195086
06043,2022,4787.833333333333,16984.0,0.28190257497252313
06045,2019,34608.142857142855,,
06045,2020,35627.166666666664,91601.0,0.38893862148520936
06045,2021,38826.666666666664,90920.0,0.4270420882827394
06045,2022,39325.5,90305.0,0.43547422623332044
06047,2019,129793.85714285714,,
06047,2020,133548.0,281202.0,0.47491838607122283
06047,2021,144677.83333333334,281604.0,0.5137634171863089
06047,2022,150904.0,285109.0,0.5292852908887478
06049,2019,2109.8571428571427,,
06049,2020,2075.8333333333335,8700.0,0.23860153256704983
06049,2021,2002.0833333333333,8606.0,0.23263808195832364
06049,2022,2189.3333333333335,8573.0,0.25537540339826587
06051,2019,1919.7142857142858,,
06051,2020,1815.0833333333333,13195.0,0.13755841859290135
06051,2021,2030.75,13191.0,0.1539496626487757
06051,2022,2135.3333333333335,13102.0,0.16297766244339287
06053,2019,167553.42857142858,,
06053,2020,172234.91666666666,439035.0,0.3923033850756014
06053,2021,194667.33333333334,437429.0,0.44502612614466197
06053,2022,198891.83333333334,436584.0,0.4555637250410765
06055,2019,27496.714285714286,,
06055,2020,27773.083333333332,138019.0,0.20122652195229157
06055,2021,32009.25,137294.0,0.23314383731262836
06055,2022,33711.833333333336,135833.0,0.24818588511873652
06057,2019,23751.428571428572,,
06057,2020,24016.833333333332,102241.0,0.23490413174101712
06057,2021,26208.666666666668,102185.0,0.2564825235275889
06057,2022,26923.833333333332,101352.0,0.26564678874944087
06059,2019,835632.7142857143,,
06059,2020,854446.6666666666,3186989.0,0.26810468020651046
06059,2021,948630.5833333334,3174592.0,0.2988196855952933
06059,2022,985415.3333333334,3159797.0,0.31186032942411596
06061,2019,57034.857142857145,,
06061,2020,59870.0,404739.0,0.14792248831963314
06061,2021,67252.16666666667,407282.0,0.1651243282705022
06061,2022,71290.66666666667,409924.0,0.17391191212680074
06063,2019,2986.1428571428573,,
06063,2020,2987.0833333333335,19790.0,0.15093902644433216
06063,2021,3191.9166666666665,19662.0,0.1623393686637507
06063,2022,3341.6666666666665,19332.0,0.1728567487412925
06065,2019,830909.4285714285,,
