fips5,year,pqi_mean_rate,pqi_sum_count,pqi_sum_population,cost_per_discharge,cost_per_patient_day,operating_margin,medi_cal_rev_share,ed_per_discharge,n_hospitals,log_pqi,log_cost_per_discharge
6087,2023,183.34285714285716,4816.0,208052.46153846153,36749802.2631579,9388.689717766334,0.0616906969005754,0.1870971364966864,3923.4210526315783,4,5.216797377755686,17.41964343022533
6089,2014,267.73125,6843.0,124485.4375,183507.43676222596,4559.773645307812,0.0531307764280281,0.1550075733268962,27.832715008431705,5,5.593711809566151,12.12001592232572
6089,2015,251.8375,4918.0,94928.4,161028.03177966102,4848.702566924237,0.0750450495837111,0.2450581587942152,23.554025423728813,5,5.532746989879214,11.989339949323414
6089,2016,289.6642857142857,6231.0,129964.71428571428,218870.7463895738,5023.924460111737,0.0827105422303765,0.2563102701507528,31.121169425854173,5,5.672168943857386,12.296241204324376
6089,2017,289.39285714285717,6246.0,136986.84615384616,228258.85485631137,4904.169567562076,0.0670893165371438,0.2310989564464566,29.363041105856674,5,5.6712346860326335,12.338239973237378
6089,2018,247.05714285714288,5443.0,130972.21428571428,253926.3779830639,5123.09334472315,0.0827091171379661,0.3052926841352201,30.69091608929946,5,5.513659134370125,12.444803591667126
6089,2019,260.5,5790.0,137227.53846153847,292524.42491319444,5241.729014846904,0.0661139924094398,0.2610394820928176,33.802517361111114,5,5.566434283504978,12.586306864656635
6089,2020,226.53571428571428,5130.0,138986.38461538462,344222.8040275049,5833.410705664963,0.0763896612867047,0.2822615531970405,43.423379174852656,5,5.427307211941284,12.749047317914803
6089,2021,206.99285714285716,4686.0,139023.84615384616,431071.3362318841,5953.451946325919,0.0460352714858515,0.2517040461161599,48.271884057971015,5,5.337503738452323,12.974031188488071
6089,2022,223.32857142857145,5080.0,138384.53846153847,391252.1660649819,5905.865478183021,0.0192352743044712,0.2214827468923446,46.938112429087155,4,5.413111813835595,12.877110112982626
6089,2023,272.3071428571428,6262.0,137891.76923076922,596199.0680272109,6256.217317850855,0.0377141411110168,0.2381482802117797,70.75661375661376,5,5.610596228183942,13.298331574327428
6093,2014,196.43125,1371.0,33304.73333333333,388030.2185430463,12840.798378259917,0.1349933972131737,0.3218142017331561,92.09933774834435,1,5.285390422474044,12.868841075531156
6093,2015,197.3375,1016.0,24754.733333333337,562498.6923076923,14515.294883105424,0.0983757779844944,0.2376780123325299,104.4957264957265,1,5.289970125060208,13.240145866052016
6093,2016,229.1071428571429,1313.0,33780.07692307692,,16178.045825071602,0.1311318620780429,0.3118325278112346,,1,5.438545038963438,
6093,2017,247.5142857142857,1395.0,33977.0,,18103.14512419503,0.1120714974414565,0.309710734618784,,1,5.51550033166817,
6093,2018,215.94285714285712,1254.0,34003.92307692308,,17203.597128562105,0.0219666698684499,0.2074845223344854,,1,5.37963398772382,
6093,2019,202.25714285714284,1215.0,34111.07692307692,,19197.69338630521,0.0287050667226519,0.1607071262167743,,1,5.314471891018987,
6093,2020,153.27142857142854,925.0,34305.61538461538,111736.79151061171,20523.08415501032,0.0178262749435943,0.2020745353066662,14.431960049937578,1,5.038713574183401,11.623910258280604
6093,2021,140.88571428571427,874.0,34416.230769230766,82141.42631578947,22056.95477488391,-0.0705219107168586,0.1205807542657645,9.294736842105262,1,4.9550219045786985,11.31620992585916
6093,2022,145.5285714285714,916.0,32475.85714285714,92285.71008403362,22303.004670999188,0.0047027480093125,0.2460914532200181,11.938655462184874,1,4.987220436258052,11.432655424035476
6093,2023,136.02142857142857,1029.0,31977.214285714286,,26566.554788213627,0.0296816561063181,0.2604548146547902,,1,4.920137326527033,
6095,2014,209.0625,9907.0,280139.1875,132219.2239098481,3714.999704021861,0.0764915222242483,0.2275942471588558,45.804262616364525,6,5.347405105485325,11.792224174350423
6095,2015,196.475,7312.0,212348.4375,140797.83310470966,3965.6764351717698,0.002662772569788,0.2105509903219759,45.79995427526292,6,5.285611994050483,11.85508743506314
6095,2016,306.63571428571424,9986.0,315499.78571428574,174522.41687531298,4234.534764198798,0.0349784271515491,0.3067920790775524,50.821482223335,6,5.728916337152128,12.06981420574926
6095,2017,287.63571428571424,9556.0,319813.9285714286,197996.8047808765,4708.552109651339,-0.0061216391147384,0.310878326372143,55.02921646746348,6,5.665165388807106,12.196011222649942
6095,2018,275.65,9476.0,322298.78571428574,204151.56739896935,4815.258922574,0.0127381928667761,0.2834164232477923,55.65283428261459,6,5.622753169344119,12.22662287271062
6095,2019,270.17857142857144,9568.0,324070.5,82182.19985974755,4906.09189098673,0.030505070899391,0.3150590187850433,19.58625525946704,6,5.60277753903803,11.316706178887296
6095,2020,223.72142857142856,8163.0,342838.76923076925,87472.01185185186,5448.730197024527,0.0027284909808314,0.3013706882977315,16.397989417989418,6,5.41486153989321,11.37908558879071
6095,2021,230.17857142857144,8450.0,327006.64285714284,196025.7305804524,10965.983495690376,-0.0197339119219759,0.2193427876659545,17.665813060179257,6,5.443190448370307,12.18600630942619
6095,2022,224.97857142857143,8421.0,326477.35714285716,239135.62933434572,11109.313229000094,0.0033677703636079,0.2297451796237863,23.546697038724375,6,5.420440178089162,12.384790338427116
6095,2023,247.67857142857144,9734.0,326569.28571428574,219803.81159258433,11457.43218824406,0.0200924892572856,0.2426127174065277,21.24045119499665,6,5.516161184767343,12.300495211488148
