fips5,year,pqi_mean_rate,pqi_count,population_pqi,population,medi_cal_enrollment,ffs_share,dual_share,medi_cal_share,ed_visits_resident,ed_admit_rate_resident,poverty_pct,age65_pct,disability_pct,county_name_clean
06013,2015,203.475,20539.0,620275.0,620275.0,52823.666666666664,1.3809466716307717,0.5406620138700456,0.08516168903577714,384662.0,0.0083215914231195,10.9,37.5,10.9,CONTRA COSTA
06013,2016,309.7142857142857,24708.0,874355.0,874355.0,55476.15,1.1848259717614384,0.5394420244855973,0.06344808458806778,387009.0,0.010046277993535,10.2,37.7,11.0,CONTRA COSTA
06013,2017,298.4642857142857,24263.0,883122.0,883122.0,54776.3,1.119909522914107,0.5587331260660784,0.06202574502730088,385226.0,0.0115542564624402,9.8,14.6,11.3,CONTRA COSTA
06013,2018,277.5571428571429,23161.0,890018.0,890018.0,53600.916666666664,1.0841838836711435,0.5713521690393977,0.06022453103944714,378374.0,0.0110657709039204,9.1,15.0,11.2,CONTRA COSTA
06013,2019,276.14285714285717,23557.0,894163.0,894163.0,52228.11666666667,1.0967336559139442,0.588164995419134,0.05841006244573603,384488.0,0.0148379143172218,8.7,15.4,11.2,CONTRA COSTA
06013,2020,221.0142857142857,19364.0,906522.0,1165927.0,53438.25,1.0793392373440374,0.585156699555094,0.04583327258053034,292371.0,0.016739006262591,8.2,15.8,11.2,CONTRA COSTA
06013,2021,233.29285714285712,20810.0,908651.0,1164050.0,59145.35,0.944895358074078,0.5708901883241878,0.05080997379837636,337061.0,0.0148608115444978,8.2,15.8,11.1,CONTRA COSTA
06013,2022,246.3142857142857,22180.0,906227.0,1154254.0,63823.3,0.7985354355958821,0.5618272114833714,0.055293982087131606,391871.0,0.012361210704543,8.3,16.4,11.2,CONTRA COSTA
06013,2023,227.02142857142857,23298.0,904586.0,1150306.0,67897.85,0.5062531435089623,0.5554164577130695,0.059025902672854014,413823.0,0.0132182116508748,8.3,16.7,11.2,CONTRA COSTA
06013,2024,246.37857142857143,24849.0,921132.0,1158249.0,67636.68333333333,0.3300563476279268,0.5709746757245391,0.05839563283312425,432262.0,0.0148127755851775,8.4,18.0,10.4,CONTRA COSTA
06015,2005,327.11875000000003,1038.0,22067.0,22067.0,,,,,,,,,,DEL NORTE
06015,2006,301.84375,965.0,22055.0,22055.0,,,,,,,,,,DEL NORTE
06015,2007,300.54375,982.0,22315.0,22315.0,,,,,,,,,,DEL NORTE
06015,2008,289.51875,944.0,22398.0,22398.0,,,,,15407.0,0.019341857597196,,,,DEL NORTE
06015,2009,297.23125,975.0,22525.0,22525.0,,,,,16577.0,0.0180973638173372,,,,DEL NORTE
06015,2010,282.20625,945.0,22507.0,22507.0,4138.208333333333,1.9977647331272592,0.3479968182687757,0.18386316849572723,17276.0,0.0200856679786987,,36.9,,DEL NORTE
06015,2011,296.4625,1013.0,22606.0,22606.0,4118.375,1.997248105543246,0.3503202112483686,0.18218061576572592,17032.0,0.0216063879755753,,37.4,,DEL NORTE
06015,2012,251.38125,878.0,23687.0,23687.0,4036.0833333333335,1.9952718188012304,0.3577312989077694,0.17039233897637243,16919.0,0.024646846740351,21.5,37.3,21.1,DEL NORTE
06015,2013,274.90625,970.0,23420.0,23420.0,3441.6071428571427,1.5954997492173852,0.4169563638250402,0.14695162864462608,15860.0,0.0228247162673392,21.8,37.4,21.5,DEL NORTE
06015,2014,222.7,796.0,23656.0,23656.0,3498.222222222222,0.2577737898615169,0.4176407063905475,0.14787885619809868,14913.0,0.0296385703748407,22.4,36.9,21.9,DEL NORTE
06015,2015,194.2875,510.0,17650.0,17650.0,3819.4166666666665,0.1889904653852028,0.4023738354460759,0.2163975448536355,16000.0,0.027875,21.8,37.2,22.5,DEL NORTE
06015,2016,146.95714285714286,564.0,21562.0,21562.0,4002.555555555556,0.1731810232351553,0.3913957749215778,0.1856300693607066,16555.0,0.0187254605859257,21.7,37.0,22.5,DEL NORTE
06015,2017,168.58571428571432,650.0,21395.0,21395.0,4011.6111111111113,0.1670567380797407,0.3963910315888601,0.18750227207810757,15628.0,0.0236754543127719,23.2,15.9,22.5,DEL NORTE
06015,2018,172.90714285714284,678.0,21889.0,21889.0,3979.1111111111113,0.1467455043002345,0.4022045683011281,0.18178587925949616,14490.0,0.0228433402346445,22.5,16.7,21.0,DEL NORTE
06015,2019,155.42857142857142,635.0,22021.0,22021.0,3889.694444444444,0.1486192145912632,0.4190774768083754,0.1766356861379794,14457.0,0.0247630905443729,19.5,17.2,20.0,DEL NORTE
06015,2020,120.96428571428572,507.0,21848.0,27743.0,3935.055555555556,0.1374186443788736,0.4215103556352444,0.14183958315811399,11742.0,0.028785556123318,17.1,17.8,18.5,DEL NORTE
06015,2021,118.27857142857144,496.0,21781.0,27460.0,4170.638888888889,0.130435651345717,0.4272127238699107,0.15188051306951525,11892.0,0.0244702320887991,17.3,17.9,18.7,DEL NORTE
06015,2022,135.77857142857144,579.0,21423.0,26926.0,4314.0,0.1278395920259619,0.431598670993664,0.16021689073757706,14784.0,0.0186011904761904,14.3,19.2,19.3,DEL NORTE
06015,2023,168.91428571428574,773.0,21034.0,26596.0,4428.527777777777,0.1229716421936058,0.4413806946125813,0.1665110459384034,15625.0,0.021376,11.6,19.8,20.5,DEL NORTE
06015,2024,193.91428571428577,761.0,21503.0,26379.0,4281.361111111111,0.1095640664638062,0.4666934840296115,0.16230187312298083,16692.0,0.0205487658758686,,,,DEL NORTE
06017,2005,219.09375,4358.0,132739.0,132739.0,,,,,,,,,,EL DORADO
06017,2006,201.5625,4120.0,134458.0,134458.0,,,,,,,,,,EL DORADO
06017,2007,202.5125,4261.0,135852.0,135852.0,,,,,,,,,,EL DORADO
06017,2008,197.625,4259.0,137534.0,137534.0,,,,,44246.0,0.0205442299868914,,,,EL DORADO
06017,2009,172.08125,3807.0,139337.0,139337.0,,,,,43357.0,0.0175980810480429,,,,EL DORADO
06017,2010,168.8875,3826.0,140597.0,140597.0,9241.583333333334,1.9903335467407277,0.3518156160109649,0.06573101370109842,43514.0,0.0158110033552419,,41.6,,EL DORADO
06017,2011,160.425,3748.0,141461.0,141461.0,9609.791666666666,1.9885706852819391,0.3440154356450668,0.06793244545610921,47382.0,0.0204296990418302,,42.1,,EL DORADO
06017,2012,158.375,3757.0,139213.0,139213.0,9571.583333333334,1.9878285550109265,0.355200724366397,0.0687549534406509,48070.0,0.0177865612648221,8.1,42.5,11.4,EL DORADO
06017,2013,152.08125,3730.0,140808.0,140808.0,8085.0,2.244176458462173,0.4372706658420944,0.05741861257883075,50491.0,0.0233903071834584,9.0,42.8,11.5,EL DORADO
06017,2014,141.14375,3525.0,146643.0,146643.0,6479.083333333333,1.996360081801695,0.5864769964887009,0.04418269766257737,53369.0,0.0240214356648991,10.3,43.3,12.2,EL DORADO
06017,2015,155.03125,3005.0,106572.0,106572.0,7502.133333333333,1.2995192478583868,0.5414015568904845,0.07039497554079245,56378.0,0.0236439746000212,10.4,43.8,12.5,EL DORADO
06017,2016,229.52857142857144,3855.0,148231.0,148231.0,7760.183333333333,1.160840272244427,0.5374228701641499,0.05235195966655648,56150.0,0.0241317898486197,9.8,44.2,13.2,EL DORADO
06017,2017,266.4428571428571,4488.0,150815.0,150815.0,7778.466666666666,1.099166930928975,0.5463801777556845,0.051576213683431134,56039.0,0.0244651046592551,9.8,18.9,13.2,EL DORADO
06017,2018,258.5285714285714,4550.0,152985.0,152985.0,7564.8,1.1009323886068811,0.5638725853073886,0.0494479850965781,59137.0,0.0282395116424573,8.9,19.7,13.3,EL DORADO
06017,2019,242.97857142857143,4405.0,154934.0,154934.0,7361.25,1.107080998471727,0.5888039848304748,0.047512166470884375,59359.0,0.0287066830640677,8.4,20.5,13.2,EL DORADO
06017,2020,206.44285714285715,3787.0,153507.0,191185.0,7520.716666666666,1.093246875851814,0.5943582504326937,0.03933737828107156,47945.0,0.0327875690895818,8.5,21.2,13.1,EL DORADO
06017,2021,196.84285714285716,3731.0,155945.0,191211.0,8819.32142857143,0.9239183988618064,0.5605117551695883,0.046123504550321,54351.0,0.0295670732829202,8.7,21.5,12.1,EL DORADO
06017,2022,214.3642857142857,4059.0,155421.0,190549.0,8719.033333333333,0.8842723390589936,0.604463032981485,0.04575743422076911,58805.0,0.0275146671201428,8.6,22.2,12.3,EL DORADO
06017,2023,196.3928571428571,3957.0,155106.0,188063.0,10176.67924528302,0.4898536362580125,0.5563619064923379,0.054113138923036534,63987.0,0.0296935314985856,8.3,22.8,12.5,EL DORADO
06017,2024,223.34615384615384,4142.0,156079.0,190632.0,9520.962962962964,0.4473024437304038,0.6109238483502291,0.049944201198974796,64611.0,0.0303353918063487,7.8,25.4,14.2,EL DORADO
06019,2005,335.54375,26750.0,605300.0,605300.0,,,,,,,,,,FRESNO
06019,2006,323.825,26162.0,614966.0,614966.0,,,,,,,,,,FRESNO
06019,2007,310.35625,25635.0,624332.0,624332.0,,,,,,,,,,FRESNO
06019,2008,338.71875,28421.0,634600.0,634600.0,,,,,246103.0,0.0084923792070799,,,,FRESNO
06019,2009,333.64375,28586.0,644386.0,644386.0,,,,,285023.0,0.0069397908238984,,,,FRESNO
06019,2010,325.44375,28486.0,654204.0,654204.0,76683.66666666667,1.354624626713207,0.4141581649286462,0.11721674992306172,281345.0,0.0106772823401873,,29.5,,FRESNO
06019,2011,316.70625,28371.0,664750.0,664750.0,81724.39130434782,1.191354850688502,0.4016620106852601,0.1229400395702863,289307.0,0.0095469518539129,,29.7,,FRESNO
