fips5,age65_pct,median_age,no_vehicle_workers,total_workers,bachelors_pct,unemp_rate,year,poverty_pct,disability_pct,limited_english_pct,no_vehicle_pct
06029,30.1,64.7,2.9,307542,14.4,13.1,2012,22.5,12.0,,0.0009429606362708183
06031,32.0,55.6,2.7,55305,10.3,14.5,2012,20.7,10.4,,0.004882017900732304
06033,43.5,63.5,2.1,22903,16.8,15.3,2012,23.7,20.1,,0.009169104484128717
06035,35.0,36.3,3.4,10163,11.4,11.2,2012,15.4,15.8,,0.033454688576207814
06037,33.6,54.7,4.7,4384405,30.0,10.8,2012,17.1,9.4,,0.00010719812608552359
06039,31.5,66.8,2.5,42734,14.2,11.6,2012,21.1,11.7,,0.005850142743482941
06041,43.1,60.1,2.1,122388,53.2,6.9,2012,7.5,8.6,,0.0017158544955387781
06043,49.8,63.5,0.4,7123,19.2,14.7,2012,14.7,17.9,,0.005615611399691142
06045,40.2,61.5,2.1,36696,20.0,11.4,2012,19.4,16.0,,0.005722694571615435
06047,28.8,69.1,3.1,91826,12.2,16.1,2012,24.6,14.7,,0.0033759501666194756
06049,44.2,73.3,1.4,3486,17.7,11.6,2012,19.9,20.9,,0.040160642570281124
06051,37.1,44.6,4.9,7812,25.4,10.7,2012,9.5,10.1,,0.06272401433691756
06053,32.1,60.0,2.7,177157,22.1,11.1,2012,16.1,8.4,,0.0015240718684556638
06055,38.4,61.8,1.6,64285,30.4,8.9,2012,10.0,10.7,,0.0024889165435171504
06057,46.4,63.7,2.1,41753,34.8,10.4,2012,11.6,12.8,,0.0050295787129068575
06059,35.0,56.5,2.2,1421469,38.8,9.0,2012,11.7,7.6,,0.00015476946736087807
06061,39.2,66.2,1.4,154742,37.0,9.3,2012,8.4,10.5,,0.0009047317470370035
06063,48.1,65.6,1.6,7534,23.4,17.2,2012,13.9,17.9,,0.02123705866737457
06065,32.7,67.1,1.9,847993,21.2,14.2,2012,15.6,10.5,,0.0002240584533127042
06067,33.6,58.3,2.7,599406,28.0,13.0,2012,16.5,12.9,,0.0004504459414820673
06069,33.5,63.5,0.9,23955,17.5,13.1,2012,12.7,8.3,,0.003757044458359424
06071,30.6,61.5,2.1,795366,18.1,14.1,2012,17.6,10.7,,0.0002640293902429825
06073,33.2,53.4,2.6,1431134,35.3,9.6,2012,13.9,9.3,,0.0001816741129761434
06075,38.5,37.3,20.5,439726,52.6,8.0,2012,13.2,10.6,,0.004661994059937324
06077,31.5,65.9,2.3,260441,17.5,15.7,2012,17.5,11.6,,0.0008831174815025283
06079,37.3,51.8,2.4,120547,31.3,8.7,2012,13.7,11.1,,0.0019909247015686827
06081,38.0,55.4,2.7,358970,43.5,7.8,2012,7.4,7.8,,0.0007521519904170266
06083,32.3,56.2,3.2,191592,32.2,9.0,2012,15.3,10.4,,0.0016702158754018958
06085,35.4,54.2,2.2,837242,48.2,9.3,2012,9.7,7.7,,0.0002627675152464879
06087,35.7,47.8,1.6,124673,36.5,8.8,2012,14.4,8.8,,0.001283357262598959
06089,40.2,65.1,2.4,66751,20.2,13.7,2012,17.6,17.7,,0.003595451753531782
06091,53.5,62.6,2.0,1221,11.9,9.1,2012,16.8,14.5,,0.16380016380016382
06093,45.4,68.2,3.6,16026,23.9,14.7,2012,19.6,19.5,,0.022463496817671284
06095,35.6,56.0,1.8,184220,23.0,11.0,2012,11.9,10.7,,0.000977092606665943
06097,38.1,56.5,2.1,225785,31.5,9.6,2012,11.5,10.7,,0.0009300883583940474
06099,31.7,64.8,2.0,198002,16.4,15.6,2012,19.2,13.0,,0.001010090807163564
06101,33.2,67.3,3.1,37033,18.7,14.8,2012,17.0,13.8,,0.00837091242945481
06103,38.8,70.8,2.0,22298,13.6,15.1,2012,20.3,19.0,,0.008969414297246391
06105,49.9,65.0,0.6,4578,21.7,16.1,2012,17.7,21.8,,0.01310615989515072
06107,28.9,72.4,2.7,164324,12.5,14.1,2012,24.8,10.4,,0.0016430953482145033
06109,45.0,61.5,2.2,19244,17.1,16.2,2012,13.1,17.5,,0.011432134691332365
06111,34.9,60.0,1.6,380261,32.5,9.3,2012,10.3,9.8,,0.00042076363339916536
06113,29.8,48.2,2.7,87801,38.0,10.0,2012,18.7,9.9,,0.0030751358184986505
06115,31.1,64.0,2.1,25695,13.2,18.1,2012,20.6,15.9,,0.008172796263864565
06001,35.8,50.9,4.4,693191,41.8,10.3,2013,12.5,9.1,,0.0006347456905816723
06003,41.0,70.1,5.5,454,27.8,9.8,2013,16.6,17.9,,1.2114537444933922
06005,47.5,61.2,1.3,12062,18.9,16.8,2013,12.6,17.6,,0.010777648814458632
06007,35.1,57.6,2.8,84086,24.9,14.1,2013,20.4,17.4,,0.0033299241253002872
06009,49.0,70.8,1.5,16966,21.1,11.6,2013,10.9,17.6,,0.008841211835435576
06011,32.7,70.7,2.8,8446,12.4,13.3,2013,12.5,12.5,,0.0331517878285579
06013,37.2,59.6,2.1,476834,40.0,10.4,2013,10.5,10.2,,0.00044040483690340875
06015,37.4,55.2,2.0,8598,11.3,12.3,2013,21.8,21.5,,0.02326122354035822
06017,42.8,60.5,1.8,78546,33.7,12.0,2013,9.0,11.5,,0.0022916507524253305
06019,30.1,66.3,3.4,346655,18.9,14.5,2013,26.0,11.6,,0.0009808022385368736
06021,34.9,70.1,3.1,10403,12.9,12.8,2013,18.8,15.8,,0.02979909641449582
06023,36.1,50.4,3.2,57743,26.2,11.1,2013,20.4,15.7,,0.005541797274128466
06025,30.8,66.3,2.6,56590,12.3,18.5,2013,23.3,13.1,,0.004594451316487012
06027,44.5,67.5,4.6,8520,23.2,8.7,2013,12.8,12.5,,0.05399061032863849
06029,30.2,64.5,2.7,309086,14.6,13.7,2013,22.9,11.8,,0.0008735432856874786
06031,31.9,56.2,2.5,54277,10.6,15.2,2013,21.0,10.4,,0.004606002542513404
06033,43.7,64.2,1.9,21768,16.4,16.5,2013,25.0,20.9,,0.008728408673281882
06035,34.9,35.5,3.5,9423,10.5,13.6,2013,16.9,17.3,,0.03714316035232941
06037,33.8,54.3,4.6,4378758,30.1,11.4,2013,17.8,9.5,,0.00010505261994382881
06039,31.6,67.1,2.5,41685,13.6,10.7,2013,22.8,12.1,,0.005997361161089121
06041,43.3,61.7,2.1,121269,53.3,7.6,2013,7.7,8.9,,0.0017316874056848826
06043,50.3,64.7,0.8,7082,19.8,14.4,2013,16.1,18.5,,0.011296243998870376
06045,40.2,62.7,2.5,36046,20.5,12.1,2013,20.0,16.1,,0.006935582311490873
06047,29.1,68.7,2.8,90630,12.1,17.9,2013,25.4,15.5,,0.003089484718084519
06049,45.5,74.3,1.5,3500,18.5,10.7,2013,21.0,21.1,,0.04285714285714286
06051,38.2,45.9,6.6,7825,27.0,10.3,2013,8.5,7.8,,0.08434504792332267
06053,32.2,60.3,2.4,176312,22.1,11.0,2013,17.0,8.4,,0.0013612232859930124
06055,38.7,62.1,1.5,64876,30.1,9.1,2013,10.1,10.8,,0.002312103088969727
06057,46.9,64.6,1.9,40722,34.1,10.7,2013,12.0,13.4,,0.004665782623643239
06059,35.2,56.4,2.2,1425016,38.7,9.4,2013,12.4,7.8,,0.00015438423147529572
06061,39.3,66.8,1.4,155572,37.5,10.0,2013,8.7,10.7,,0.0008999048671997532
06063,48.9,67.5,1.7,7297,24.5,17.2,2013,15.2,19.4,,0.02329724544333288
06065,32.9,66.4,2.0,857119,21.0,14.9,2013,16.2,10.7,,0.00023333982795854487
06067,33.8,58.3,2.7,593695,28.1,13.7,2013,17.6,12.7,,0.00045477896899923364
06069,33.8,62.5,1.2,24143,18.0,13.8,2013,11.9,8.7,,0.00497038479062254
06071,30.8,61.0,2.2,788495,18.1,14.5,2013,18.7,10.9,,0.0002790125492235208
06073,33.4,53.4,2.6,1436094,35.5,10.0,2013,14.4,9.4,,0.00018104664457897605
06075,38.6,37.4,20.4,447243,53.1,8.3,2013,13.5,10.6,,0.004561278767918111
06077,31.8,65.6,2.2,261485,17.6,16.2,2013,18.2,11.7,,0.0008413484521100637
06079,37.3,52.7,1.9,121124,31.1,8.5,2013,14.3,10.8,,0.0015686404015719429
06081,38.0,55.7,2.7,362286,43.6,8.1,2013,7.6,7.8,,0.0007452675510508273
06083,32.2,56.4,3.5,192480,31.8,9.4,2013,16.0,10.0,,0.0018183707398171237
06085,35.6,54.4,2.1,844255,48.5,9.7,2013,10.2,7.7,,0.00024874001338458164
06087,35.7,48.3,1.9,124909,36.2,9.3,2013,14.6,8.8,,0.0015211073661625663
06089,40.3,65.8,2.3,65892,19.3,13.4,2013,17.5,17.9,,0.003490560310811631
06091,50.5,59.2,1.7,1134,14.2,10.2,2013,19.4,20.3,,0.14991181657848324
06093,45.5,69.7,2.7,15885,25.4,14.9,2013,21.0,19.1,,0.0169971671388102
06095,35.8,56.1,1.9,182643,23.0,12.1,2013,13.0,10.9,,0.0010402807663036635
06097,38.5,56.9,2.0,225640,31.4,10.2,2013,11.9,10.7,,0.0008863676653075697
06099,31.9,64.6,2.2,196796,16.1,16.8,2013,20.3,13.1,,0.0011179089005874103
06101,33.5,67.6,2.7,36348,18.7,15.0,2013,16.7,13.6,,0.0074281941234730945
06103,39.1,70.6,2.0,22156,13.1,15.8,2013,19.7,18.2,,0.009026900162484202
06105,49.8,65.1,0.2,4409,23.6,15.8,2013,19.2,22.7,,0.004536176003628941
06107,29.2,72.2,2.8,163808,12.3,14.5,2013,26.2,10.7,,0.0017093182262160579
06109,45.4,62.7,2.7,18325,17.6,17.3,2013,14.5,18.4,,0.014733969986357436
06111,35.1,60.0,1.6,382237,32.5,9.6,2013,11.1,9.9,,0.0004185884673644886
06113,30.1,48.5,3.4,87386,38.3,10.4,2013,19.1,10.3,,0.003890783420685236
06115,30.9,64.4,2.2,24662,12.2,19.3,2013,21.6,16.5,,0.008920606601248885
06001,36.0,50.9,4.6,701525,42.0,9.6,2014,12.9,9.2,,0.0006557143366237839
06003,40.6,62.0,5.3,484,26.8,6.0,2014,15.1,21.5,,1.0950413223140494
06005,47.9,63.6,1.5,11869,20.0,15.9,2014,13.0,18.1,,0.012637964445193361
06007,35.1,57.9,3.1,85197,25.7,13.1,2014,21.5,17.2,,0.003638625773207977
06009,49.6,72.4,1.8,16536,21.2,11.3,2014,12.1,18.6,,0.01088534107402032
06011,33.1,70.4,1.9,8468,13.1,12.4,2014,14.5,12.4,,0.022437411431270666
06013,37.4,59.8,2.2,485218,40.3,9.8,2014,10.7,10.4,,0.0004534044491342036
06015,36.9,56.5,3.0,8207,13.5,12.6,2014,22.4,21.9,,0.03655416108200317
06017,43.3,61.4,1.8,77573,33.9,11.3,2014,10.3,12.2,,0.002320394982790404
06019,30.3,66.3,3.6,352667,18.9,14.3,2014,27.4,11.9,,0.0010207929860179717
06021,35.3,70.2,2.1,10106,13.4,13.5,2014,20.0,17.2,,0.020779734811003366
06023,36.5,51.1,3.4,57204,26.0,11.3,2014,20.8,16.3,,0.005943640304873785
06025,30.9,66.7,2.4,56288,12.3,18.1,2014,23.4,13.4,,0.004263786242183059
06027,44.3,69.1,4.1,8119,23.7,7.9,2014,13.7,13.5,,0.05049882990516073
06029,30.4,64.4,2.7,312996,14.7,13.2,2014,23.4,11.4,,0.0008626308323429054
06031,32.1,56.6,2.4,53699,10.4,14.2,2014,22.7,10.8,,0.0044693569712657595
06033,43.9,65.3,1.8,21354,17.2,16.6,2014,24.3,20.5,,0.008429334082607475
06035,34.9,35.0,3.7,9167,9.9,13.4,2014,17.1,17.8,,0.040362168648412786
06037,34.1,54.0,4.6,4434574,30.2,11.0,2014,18.4,9.6,,0.00010373036959130684
06039,31.8,67.2,3.1,42533,13.7,9.5,2014,23.2,12.9,,0.007288458373498226
06041,43.5,63.2,2.2,122993,53.5,7.2,2014,8.8,9.0,,0.0017887196832340052
06043,50.3,68.6,1.5,7167,19.4,13.2,2014,16.3,18.0,,0.020929259104227712
06045,40.6,64.4,2.2,35713,21.0,12.3,2014,20.2,16.6,,0.006160221767983648
06047,29.4,68.4,2.9,92426,12.3,17.5,2014,25.6,15.7,,0.003137645251336204
06049,47.2,73.6,0.6,3317,17.9,12.3,2014,21.0,19.1,,0.018088634308109735
06051,37.0,46.1,8.4,7482,30.7,11.9,2014,5.0,9.2,,0.11226944667201283
06053,32.6,60.8,2.3,177092,22.1,9.6,2014,17.2,8.6,,0.0012987599665710478
06055,39.3,62.1,1.6,65991,30.7,8.4,2014,10.3,11.2,,0.002424573047839857
06057,47.3,66.0,1.8,40647,34.7,10.7,2014,12.4,14.0,,0.00442837109749797
06059,35.5,56.3,2.1,1448689,39.0,8.8,2014,12.8,8.1,,0.00014495864881972596
06061,39.3,67.3,1.3,157504,37.5,9.3,2014,8.9,10.8,,0.0008253758634701341
06063,49.5,68.0,2.0,7116,24.6,16.7,2014,15.9,21.4,,0.028105677346824058
06065,33.3,65.8,2.0,873689,21.2,14.3,2014,16.9,10.8,,0.00022891440775836712
06067,34.0,58.4,2.8,602052,28.4,13.1,2014,18.1,12.9,,0.0004650761063828373
06069,34.0,61.9,1.2,24447,18.7,14.0,2014,12.1,8.8,,0.004908577739599951
06071,31.1,60.6,2.1,799738,18.0,13.9,2014,19.2,10.9,,0.00026258599691398937
06073,33.5,53.5,2.5,1463835,35.9,9.6,2014,14.7,9.5,,0.00017078427555018155
06075,38.6,37.8,20.4,456670,53.8,7.6,2014,13.3,10.5,,0.004467120677951256
06077,32.1,65.4,2.2,266476,17.6,15.0,2014,19.4,11.7,,0.0008255902970623996
06079,37.2,53.4,1.8,121145,31.6,8.0,2014,14.8,11.0,,0.0014858227743613027
06081,38.1,56.0,2.7,370844,44.2,7.4,2014,7.6,8.0,,0.0007280689454325809
06083,32.3,56.5,3.5,194766,31.6,8.9,2014,16.6,10.0,,0.0017970282287462906
06085,35.7,54.4,2.2,867212,49.5,8.8,2014,9.9,7.7,,0.00025368652647795464
06087,35.8,48.8,2.1,126431,36.6,8.7,2014,15.3,8.9,,0.0016609850432251583
06089,40.1,66.8,2.4,66123,19.8,12.2,2014,18.0,18.2,,0.003629599382968105
06091,53.4,65.8,1.3,1188,17.2,7.0,2014,16.3,15.9,,0.10942760942760943
06093,45.7,71.3,3.0,15694,24.4,14.4,2014,22.7,19.8,,0.019115585574104754
06095,35.8,56.3,1.9,183003,22.9,12.1,2014,13.1,11.1,,0.00103823434588504
06097,38.9,57.6,1.9,229141,31.5,9.6,2014,12.3,11.2,,0.0008291837776740086
06099,32.1,64.6,2.1,199368,15.7,16.3,2014,20.3,13.3,,0.0010533285181172506
06101,33.7,68.2,2.4,36526,18.7,14.0,2014,16.8,13.7,,0.006570661994195915
