year,county_name,ed_admissions,ed_visits,ed_facility_count,ed_admit_rate,ed_visits_per_facility,county_clean,fips5
2014,ORANGE,140815.0,771714.0,24,0.1824704488968711,32154.75,ORANGE,06059
2014,PLACER,21738.0,168392.0,3,0.1290916433084707,56130.666666666664,PLACER,06061
2014,PLUMAS,625.0,9547.0,3,0.0654655912852204,3182.3333333333335,PLUMAS,06063
2014,RIVERSIDE,105349.0,678504.0,16,0.1552665864902786,42406.5,RIVERSIDE,06065
2014,SACRAMENTO,77601.0,490194.0,9,0.1583067112204556,54466.0,SACRAMENTO,06067
2014,SAN BENITO,1415.0,15386.0,1,0.0919667229949304,15386.0,SAN BENITO,06069
2014,SAN BERNARDINO,113815.0,729269.0,18,0.156067239934784,40514.944444444445,SAN BERNARDINO,06071
2014,SAN DIEGO,151471.0,813785.0,17,0.1861314720718617,47869.705882352944,SAN DIEGO,06073
2014,SAN FRANCISCO,43280.0,224842.0,9,0.1924907268215013,24982.444444444445,SAN FRANCISCO,06075
2014,SAN JOAQUIN,34269.0,277254.0,7,0.123601462918479,39607.71428571428,SAN JOAQUIN,06077
2014,SAN LUIS OBISPO,9454.0,85936.0,4,0.1100121020294172,21484.0,SAN LUIS OBISPO,06079
2014,SAN MATEO,24178.0,177233.0,8,0.1364192898613689,22154.125,SAN MATEO,06081
2014,SANTA BARBARA,16912.0,145899.0,5,0.1159158047690525,29179.8,SANTA BARBARA,06083
2014,SANTA CLARA,74643.0,470798.0,10,0.1585457032527751,47079.8,SANTA CLARA,06085
2014,SANTA CRUZ,10032.0,65733.0,3,0.1526174067819816,21911.0,SANTA CRUZ,06087
2014,SHASTA,13133.0,88676.0,3,0.1481009517795119,29558.666666666668,SHASTA,06089
2014,SISKIYOU,1524.0,20401.0,2,0.0747022204793882,10200.5,SISKIYOU,06093
2014,SOLANO,17424.0,177342.0,4,0.0982508373650911,44335.5,SOLANO,06095
2014,SONOMA,18236.0,140350.0,8,0.1299323120769504,17543.75,SONOMA,06097
2014,STANISLAUS,31832.0,224973.0,4,0.1414925346597147,56243.25,STANISLAUS,06099
2014,TEHAMA,1907.0,28433.0,1,0.0670699539267752,28433.0,TEHAMA,06103
2014,TRINITY,334.0,4371.0,1,0.0764127202013269,4371.0,TRINITY,06105
2014,TULARE,17852.0,137736.0,3,0.1296102689202532,45912.0,TULARE,06107
2014,TUOLUMNE,3546.0,27552.0,1,0.1287020905923345,27552.0,TUOLUMNE,06109
2014,VENTURA,32948.0,221163.0,7,0.1489760945546949,31594.714285714286,VENTURA,06111
2014,YOLO,3429.0,43606.0,2,0.0786359675274044,21803.0,YOLO,06113
2014,YUBA,7876.0,45814.0,1,0.171912515824857,45814.0,YUBA,06115
2015,ALAMEDA,72626.0,565970.0,13,0.128321289114264,43536.15384615384,ALAMEDA,06001
2015,AMADOR,1943.0,20422.0,1,0.0951424933894819,20422.0,AMADOR,06005
2015,BUTTE,24719.0,101574.0,4,0.2433595211372989,25393.5,BUTTE,06007
2015,CALAVERAS,874.0,11272.0,1,0.0775372604684173,11272.0,CALAVERAS,06009
2015,COLUSA,440.0,6907.0,1,0.063703489213841,6907.0,COLUSA,06011
2015,CONTRA COSTA,47845.0,319015.0,8,0.149977273795903,39876.875,CONTRA COSTA,06013
2015,DEL NORTE,1634.0,19258.0,1,0.0848478554367016,19258.0,DEL NORTE,06015
2015,EL DORADO,5383.0,43574.0,2,0.1235369715885619,21787.0,EL DORADO,06017
