county,year,medi_cal_enrollment,ffs_avg,ffs_share,dual_avg,dual_share,county_upper,fips5
Humboldt,2017,13937.104166666666,3320.9166666666665,0.23827881509340326,6206.416666666667,0.44531608521019284,HUMBOLDT,06023
Humboldt,2018,13886.9375,3440.9166666666665,0.24778081320425518,6250.75,0.4501172414724269,HUMBOLDT,06023
Humboldt,2019,13816.416666666666,3282.5,0.2375796908267339,6392.5,0.46267423415381465,HUMBOLDT,06023
Humboldt,2020,14086.708333333334,3127.5833333333335,0.22202371621002068,6611.583333333333,0.46934906131962456,HUMBOLDT,06023
Humboldt,2021,15008.083333333334,2967.25,0.19771012287822673,7095.083333333333,0.47275079540469855,HUMBOLDT,06023
Humboldt,2022,15775.020833333334,3357.0,0.21280479027365257,7399.583333333333,0.4690696393692031,HUMBOLDT,06023
Humboldt,2023,16207.5625,3272.5,0.20191191611940412,7860.666666666667,0.48499992930255037,HUMBOLDT,06023
Humboldt,2024,15387.375,2670.0,0.1735188750517876,8034.833333333333,0.5221705023328107,HUMBOLDT,06023
Humboldt,2025,14871.125,2067.9166666666665,0.13905583247176434,8225.5,0.5531188797081593,HUMBOLDT,06023
Imperial,2010,28527.083333333332,56857.666666666664,1.9931118089534798,11183.916666666666,0.39204557072956986,IMPERIAL,06025
Imperial,2011,29106.0,57906.5,1.9895038823610252,11498.166666666666,0.39504454980645454,IMPERIAL,06025
Imperial,2012,29266.666666666668,58126.916666666664,1.9861133257403187,11711.666666666666,0.4001708428246013,IMPERIAL,06025
Imperial,2013,26014.964285714286,53879.833333333336,2.0711092562568156,11862.416666666666,0.45598435332777787,IMPERIAL,06025
Imperial,2014,19898.833333333332,28305.333333333332,1.4224619533808516,12299.416666666666,0.618097375893059,IMPERIAL,06025
Imperial,2015,22724.333333333332,21628.833333333332,0.9517917650682821,12812.083333333334,0.5638045853930442,IMPERIAL,06025
Imperial,2016,23523.166666666668,19555.666666666668,0.8313364838917663,13160.833333333334,0.5594839130219146,IMPERIAL,06025
Imperial,2017,23789.270833333332,18776.5,0.7892843850300162,13565.5,0.5702360570460248,IMPERIAL,06025
Imperial,2018,23676.916666666668,18072.916666666668,0.7633137760758545,13848.583333333334,0.5848980899117635,IMPERIAL,06025
Imperial,2019,23212.9375,17049.416666666668,0.7344790665406594,14121.5,0.6083461001004289,IMPERIAL,06025
Imperial,2020,23319.854166666668,16259.75,0.6972492145015915,14327.666666666666,0.6143977815756065,IMPERIAL,06025
Imperial,2021,24715.875,16024.833333333334,0.6483619670893033,14745.416666666666,0.5965969914747775,IMPERIAL,06025
Imperial,2022,26751.1875,18238.166666666668,0.681770357546433,15383.833333333334,0.5750710443539501,IMPERIAL,06025
Imperial,2023,27277.375,7629.083333333333,0.2796853925032498,16152.416666666666,0.5921543648047756,IMPERIAL,06025
Imperial,2024,37980.125,4787.083333333333,0.1260418003714662,16593.416666666668,0.4368973684701319,IMPERIAL,06025
Imperial,2025,25144.395833333332,3332.25,0.13252456022755238,17267.083333333332,0.686716970564183,IMPERIAL,06025
Inyo,2010,1705.4166666666667,3408.3333333333335,1.9985340825800146,622.1666666666666,0.3648179819203518,INYO,06027
Inyo,2011,1778.0416666666667,3550.5833333333335,1.996906709160359,624.75,0.3513697185574016,INYO,06027
Inyo,2012,1765.0833333333333,3522.8333333333335,1.9958453330815356,615.9166666666666,0.3489448090269581,INYO,06027
