fips5,year,ed_visits,ed_admissions,ed_total,ed_admit_rate,county_name_clean
06029,2014,304854.0,39600.0,344454.0,0.12989824637367395,KERN
06031,2014,106237.0,7172.0,113409.0,0.06750943644869489,KINGS
06033,2014,36077.0,2048.0,38125.0,0.05676746957895612,LAKE
06035,2014,9770.0,863.0,10633.0,0.08833162743091096,LASSEN
06037,2014,2827486.0,524807.0,3352293.0,0.18560905341352707,LOS ANGELES
06039,2014,130627.0,10294.0,140921.0,0.07880453505018105,MADERA
06041,2014,66027.0,9094.0,75121.0,0.13773153406939587,MARIN
06043,2014,5412.0,153.0,5565.0,0.02827050997782705,MARIPOSA
06045,2014,39099.0,3752.0,42851.0,0.09596153354305736,MENDOCINO
06047,2014,89719.0,6519.0,96238.0,0.0726601946076082,MERCED
06049,2014,4169.0,144.0,4313.0,0.03454065723195011,MODOC
06051,2014,7457.0,287.0,7744.0,0.0384873273434357,MONO
06053,2014,143595.0,16716.0,160311.0,0.11641073853546433,MONTEREY
06055,2014,32154.0,5119.0,37273.0,0.159202587547428,NAPA
06057,2014,38509.0,4785.0,43294.0,0.12425666727258564,NEVADA
06059,2014,771714.0,140815.0,912529.0,0.1824704488968711,ORANGE
06061,2014,168392.0,21738.0,190130.0,0.1290916433084707,PLACER
06063,2014,9547.0,625.0,10172.0,0.06546559128522049,PLUMAS
06065,2014,678504.0,105349.0,783853.0,0.1552665864902786,RIVERSIDE
06067,2014,490194.0,77601.0,567795.0,0.1583067112204556,SACRAMENTO
06069,2014,15386.0,1415.0,16801.0,0.09196672299493046,SAN BENITO
06071,2014,729269.0,113815.0,843084.0,0.156067239934784,SAN BERNARDINO
06073,2014,813785.0,151471.0,965256.0,0.18613147207186173,SAN DIEGO
06075,2014,224842.0,43280.0,268122.0,0.1924907268215013,SAN FRANCISCO
06077,2014,277254.0,34269.0,311523.0,0.12360146291847908,SAN JOAQUIN
06079,2014,85936.0,9454.0,95390.0,0.11001210202941725,SAN LUIS OBISPO
06081,2014,177233.0,24178.0,201411.0,0.13641928986136892,SAN MATEO
06083,2014,145899.0,16912.0,162811.0,0.11591580476905257,SANTA BARBARA
06085,2014,470798.0,74643.0,545441.0,0.1585457032527751,SANTA CLARA
06087,2014,65733.0,10032.0,75765.0,0.15261740678198166,SANTA CRUZ
06089,2014,88676.0,13133.0,101809.0,0.14810095177951194,SHASTA
06093,2014,20401.0,1524.0,21925.0,0.07470222047938826,SISKIYOU
06095,2014,177342.0,17424.0,194766.0,0.09825083736509117,SOLANO
06097,2014,140350.0,18236.0,158586.0,0.12993231207695047,SONOMA
06099,2014,224973.0,31832.0,256805.0,0.14149253465971473,STANISLAUS
06103,2014,28433.0,1907.0,30340.0,0.06706995392677523,TEHAMA
06105,2014,4371.0,334.0,4705.0,0.07641272020132693,TRINITY
06107,2014,137736.0,17852.0,155588.0,0.12961026892025324,TULARE
06109,2014,27552.0,3546.0,31098.0,0.1287020905923345,TUOLUMNE
06111,2014,221163.0,32948.0,254111.0,0.14897609455469496,VENTURA
06113,2014,43606.0,3429.0,47035.0,0.07863596752740448,YOLO
06115,2014,45814.0,7876.0,53690.0,0.17191251582485703,YUBA
06001,2015,565970.0,72626.0,638596.0,0.12832128911426402,ALAMEDA
06005,2015,20422.0,1943.0,22365.0,0.09514249338948193,AMADOR
06007,2015,101574.0,24719.0,126293.0,0.24335952113729892,BUTTE
06009,2015,11272.0,874.0,12146.0,0.07753726046841732,CALAVERAS
06011,2015,6907.0,440.0,7347.0,0.06370348921384103,COLUSA
06013,2015,319015.0,47845.0,366860.0,0.149977273795903,CONTRA COSTA
06015,2015,19258.0,1634.0,20892.0,0.08484785543670163,DEL NORTE
06017,2015,43574.0,5383.0,48957.0,0.12353697158856199,EL DORADO
06019,2015,278770.0,47757.0,326527.0,0.17131326900312085,FRESNO
06021,2015,5588.0,206.0,5794.0,0.03686471009305655,GLENN
06023,2015,58277.0,6668.0,64945.0,0.11441906755666902,HUMBOLDT
06025,2015,90727.0,6462.0,97189.0,0.07122466299998897,IMPERIAL
06027,2015,9362.0,635.0,9997.0,0.06782738731040376,INYO
06029,2015,318630.0,37951.0,356581.0,0.1191068009917459,KERN
06031,2015,114601.0,7351.0,121952.0,0.06414429193462536,KINGS
06033,2015,38870.0,2272.0,41142.0,0.058451247748906615,LAKE
06035,2015,10917.0,790.0,11707.0,0.07236420261976734,LASSEN
06037,2015,3010220.0,544261.0,3554481.0,0.18080439303439616,LOS ANGELES
06039,2015,149922.0,10985.0,160907.0,0.07327143447926256,MADERA
06041,2015,68929.0,9440.0,78369.0,0.13695251635741124,MARIN
06043,2015,5844.0,159.0,6003.0,0.027207392197125257,MARIPOSA
06045,2015,46394.0,3528.0,49922.0,0.07604431607535457,MENDOCINO
06047,2015,97736.0,7461.0,105197.0,0.07633829909142997,MERCED
06049,2015,4670.0,163.0,4833.0,0.034903640256959315,MODOC
06051,2015,8149.0,319.0,8468.0,0.03914590747330961,MONO
06053,2015,157135.0,18856.0,175991.0,0.11999872720908773,MONTEREY
06055,2015,34733.0,4731.0,39464.0,0.136210520254513,NAPA
06057,2015,39114.0,4814.0,43928.0,0.12307613642174157,NEVADA
06059,2015,815438.0,149975.0,965413.0,0.1839195622475283,ORANGE
06061,2015,176873.0,22766.0,199639.0,0.12871382291248523,PLACER
06063,2015,10256.0,672.0,10928.0,0.0655226209048362,PLUMAS
06065,2015,743201.0,112504.0,855705.0,0.1513776219353849,RIVERSIDE
06067,2015,536549.0,77975.0,614524.0,0.14532689465454227,SACRAMENTO
06069,2015,17156.0,1303.0,18459.0,0.07595010491956167,SAN BENITO
06071,2015,762508.0,109096.0,871604.0,0.14307522019441107,SAN BERNARDINO
06073,2015,857147.0,156323.0,1013470.0,0.18237595184956606,SAN DIEGO
06075,2015,245771.0,45126.0,290897.0,0.18360994584389534,SAN FRANCISCO
06077,2015,306002.0,37846.0,343848.0,0.12367893020307057,SAN JOAQUIN
06079,2015,95697.0,9770.0,105467.0,0.10209306456837727,SAN LUIS OBISPO
06081,2015,187617.0,24604.0,212221.0,0.13113950228390817,SAN MATEO
06083,2015,159228.0,17817.0,177045.0,0.11189614891853192,SANTA BARBARA
06085,2015,499681.0,80305.0,579986.0,0.16071253459707294,SANTA CLARA
06087,2015,72680.0,10702.0,83382.0,0.1472482113373693,SANTA CRUZ
06089,2015,94383.0,13273.0,107656.0,0.14062913872201563,SHASTA
06093,2015,21350.0,1651.0,23001.0,0.07733021077283372,SISKIYOU
