fips5,year,pqi_mean_rate,pqi_sum_count,pqi_sum_population,population,medi_cal_enrollment,medi_cal_share,pcp_supply,pcp_per_100k,shortage_flag,shortage_score,age65_pct,hispanic_pct,bachelors_pct,poverty_pct,unemp_pct,high_medi_cal_q,low_pcp_q,high_medi_cal_thr,low_pcp_thr,desert_q_def1,desert_thr_def1,desert_q_def2,desert_thr_def2,operating_margin,cost_per_discharge,cost_per_patient_day,ed_per_discharge,medi_cal_rev_share,total_op_expense,n_hospitals,log_cost_per_discharge,log_ed_per_discharge,small_county
6023,2020,166.42857142857142,2658.0,107063.6153846154,136463.0,49825.083333333336,0.3651178952048052,141,104.5642415013744,1,5,19.3,8.6,32.1,18.9,8.7,False,False,True,False,0,0,0,1,0.0952247583476087,73829.30187627717,7535.087727281345,9.290730076165708,0.3260623543943891,397423132.0,4.0,11.209524520847198,2.331243497393816,0
6025,2020,149.80714285714288,3227.0,124035.6153846154,179702.0,92091.5,0.512467863462844,54,29.621367611228692,1,7,13.5,2.7,16.1,19.6,12.6,True,True,True,True,1,1,1,1,-0.1437977361294267,57962.38993108729,7548.939817007803,15.19927258805513,0.4507702626528794,302795525.0,2.0,10.967566882148162,2.7849663392583093,0
6027,2020,188.30714285714288,409.0,14053.0,19016.0,3537.4166666666665,0.1860231734679568,16,84.60609692685978,1,7,24.4,15.1,31.8,10.5,2.7,False,False,False,False,0,0,0,0,-0.0339299882056961,748531.676923077,7003.679142075716,74.71538461538462,0.2257039205314941,97309118.0,2.0,13.525870138432758,4.326981371173629,1
6029,2020,216.40714285714284,21287.0,598298.0714285715,909235.0,420486.1666666667,0.462461483188248,595,65.17824149469591,1,10,11.6,2.9,18.6,19.0,8.4,True,True,True,True,1,1,1,1,0.0304155350920374,55296.25834907003,6181.285594073149,7.871329901440878,0.3792084198985737,2137587459.0,12.0,10.920478608506906,2.182824717601432,0
6031,2020,244.5,3061.0,107494.15384615384,152486.0,57347.25,0.3760820665503718,78,51.122454664323186,1,5,10.6,3.1,13.9,16.8,9.8,False,True,True,True,0,1,0,1,0.0831631429401282,,6408.600004049566,,0.506282769350056,316507937.0,1.0,,,0
6033,2020,200.42857142857144,1853.0,52287.692307692305,68163.0,26756.0,0.3925296715226736,32,47.375706625936715,1,8,23.6,6.6,17.7,16.7,11.5,True,True,True,True,1,1,1,1,0.0203327591204818,328469.83714285714,19840.269738545172,46.855714285714285,0.3381465395759508,229928886.0,2.0,12.702203337145166,3.868190531577942,1
6035,2020,134.9,439.0,25872.846153846152,32730.0,6943.0,0.2121295447601588,13,43.639781577298365,1,7,16.0,5.1,13.2,13.7,7.6,False,True,False,True,0,0,0,0,0.0658911954798193,,13279.110127826942,,0.1935080726563692,40514565.0,1.0,,,1
6037,2020,212.62857142857143,187755.0,7321511.785714285,10014009.0,3819645.0,0.3814301544965657,11727,118.43398100875211,1,10,14.7,2.7,35.5,13.6,7.0,True,False,True,False,0,0,1,1,0.0139309683284642,245606.62103946897,10020.582026428912,11.235159173388992,0.2108190674762539,52246422854.0,86.0,12.411490505064693,2.5043137064862657,0
6039,2020,210.92142857142855,3134.0,109944.23076923077,156255.0,70543.58333333333,0.4514644864697663,156,98.23203329814054,1,7,14.4,5.0,17.1,19.9,10.6,True,False,True,False,0,0,1,1,0.0349308966816181,298045.5164790997,9384.409185248933,44.312700964630224,0.6393765415150408,741537245.0,2.0,12.605004848873344,3.8135873676865533,0
6041,2020,117.45,2553.0,194991.64285714287,262321.0,45372.166666666664,0.172964294382328,407,158.2529701594,0,2,23.3,1.9,60.5,7.8,6.1,False,False,False,False,0,0,0,0,0.0006990693608871,135480.3723432876,8837.38209641472,14.854721549636803,0.1229458521583815,503580544.0,3.0,11.816589436370275,2.7634673455299925,0
6043,2020,249.93571428571428,556.0,13943.53846153846,17131.0,2855.4166666666665,0.1666812600937871,8,47.04959811801608,1,6,29.4,6.2,30.9,13.9,6.9,False,True,False,True,0,0,0,0,-0.1542161960531546,,2901.665629214649,,0.275648505875702,27969155.0,1.0,,,1
6045,2020,176.60714285714286,2087.0,70286.23076923077,91601.0,35627.166666666664,0.3889386214852093,80,88.50503925567263,1,9,24.1,6.8,24.9,15.2,9.3,True,False,True,False,0,0,1,1,0.0434669525263153,1296478.741935484,13126.635542168677,167.752688172043,0.3384448856391301,361717569.0,3.0,14.0751632586444,5.1284342595341625,1
6047,2020,286.0642857142857,7202.0,185393.92857142855,281202.0,133548.0,0.4749183860712228,132,46.056794074956265,1,7,11.6,3.0,14.8,18.4,10.8,True,True,True,True,1,1,1,1,0.0869103616115085,1511776.7248062016,8477.621174578335,302.05426356589146,0.3506354833265959,390038395.0,3.0,14.228796817511663,5.713911877151295,0
6049,2020,157.04285714285714,261.0,6498.142857142857,8700.0,2075.8333333333335,0.2386015325670498,10,116.71789285297436,1,8,31.0,6.3,23.0,20.3,6.0,False,False,False,False,0,0,0,0,0.1626084214133517,,1678.4933906414726,,0.6347118427842217,41395004.0,1.0,,,1
6051,2020,121.09285714285714,123.0,10909.333333333334,13195.0,1815.0833333333333,0.1375584185929013,13,99.6957999948874,1,5,16.4,6.8,34.3,11.0,2.0,False,False,False,False,0,0,0,0,0.0047776948617066,,49488.04902576996,,0.1786227536206465,78735486.0,1.0,,,1
6053,2020,225.87857142857143,7992.0,301717.0,439035.0,172234.91666666666,0.3923033850756014,404,92.32653732825894,1,9,14.5,2.5,27.9,12.6,5.1,True,False,True,False,0,0,1,1,0.1316518524351849,667547.2694970005,8718.40342450067,74.97046608214121,0.1927649859080107,1446574933.0,4.0,13.411366980495206,4.330344660577806,0
6055,2020,158.32857142857142,1868.0,107173.15384615384,138019.0,27773.083333333332,0.2012265219522915,154,113.00305621902048,1,6,20.6,2.5,38.5,8.4,5.1,False,False,False,False,0,0,0,0,-0.0213784124595157,19094687.739130434,1793.2651896253226,596.5217391304348,0.142304896617572,878355636.0,3.0,16.764920777861107,6.392790666625702,0
6057,2020,168.72142857142856,1961.0,83284.53846153847,102241.0,24016.833333333332,0.2349041317410171,109,107.6289860987455,0,2,28.9,2.6,39.5,10.6,4.7,False,False,False,False,0,0,0,0,0.0294848741672483,,11909.80523536609,,0.1729996852993313,369894731.0,2.0,,,0
6059,2020,167.41428571428574,42529.0,2321912.3571428573,3186989.0,854446.6666666666,0.2681046802065104,4280,134.99394813929925,1,8,15.8,2.0,43.4,9.5,5.3,False,False,False,False,0,0,0,0,0.0253879963924568,204529.348766725,6538.189438121884,18.59840327230614,0.2388496792540152,8300414561.0,29.0,12.228471648181364,2.975448097219295,0
6061,2020,185.15714285714284,5484.0,293962.5,404739.0,59870.0,0.1479224883196331,701,169.99805185304342,1,7,20.2,2.4,42.9,6.7,4.5,False,False,False,False,0,0,0,0,0.0933763576582803,116648.90653266331,4661.43537172491,22.110552763819097,0.1383447236451758,928525296.0,4.0,11.666932476186188,3.1402893428154317,0
6063,2020,167.06428571428572,413.0,15948.692307692309,19790.0,2987.0833333333335,0.1509390264443321,16,83.14639828856997,1,6,29.8,4.9,20.5,10.7,9.7,False,False,False,False,0,0,0,0,,,,,,,,,,1
