fips5,nhsc_sites,nhsc_pcp_sites,nhsc_fte,nhsc_pcp_fte,fqhc_count,rhc_count,cmhc_count,chc_grants,county_type,access_gap,pcp_per_100k,pqi_mean_rate,population,ahrf_pcp_count,nhsc_per_100k,fqhc_per_100k,rhc_per_100k,cmhc_per_100k,pcp_per_100k_ahrf,true_desert
06047,28.0,8.0,16.0,10.0,18.0,9.0,0.0,19.0,TRUE DESERT,-40.561259357152146,46.056794074956265,272.85857142857145,285307.2,123.0,5.607990264528901,6.308989047595013,3.1544945237975064,0.0,43.11142515856592,1
06049,4.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,Well-Served,59.346288160875915,116.71789285297436,140.64142857142855,8583.0,6.0,11.65093790050099,0.0,46.60375160200396,0.0,69.90562740300594,0
06051,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Underserved,-25.700770288866806,99.6957999948874,95.55703296703297,13110.8,9.0,0.0,7.6272996308386976,7.6272996308386976,0.0,68.64569667754829,0
06053,29.0,4.0,9.0,5.5,21.0,5.0,0.0,28.0,TRUE DESERT,-26.333224544657256,92.32653732825894,241.9942857142857,437326.6,288.0,2.0579585143002963,4.801903200034025,1.143310285722387,0.0,65.85467245760948,1
06055,6.0,1.0,6.0,3.0,7.0,0.0,0.0,8.0,Adequate,0.3569142437330583,113.00305621902048,177.13098901098903,136310.6,133.0,4.401711972509841,5.135330634594815,0.0,0.0,97.57128205730147,0
06057,5.0,0.0,4.9,0.0,7.0,3.0,0.0,9.0,Adequate,17.183313381282616,107.6289860987455,162.3426373626374,101457.8,73.0,4.8295941761008025,6.899420251572574,2.9568943935311034,0.0,71.95109690925685,0
06059,67.0,25.0,41.2,29.7,55.0,0.0,1.0,110.0,Adequate,12.33055080886622,134.99394813929925,180.00714285714284,3169529.6,3223.0,1.2998774329162284,1.7352732720969066,0.0,0.031550423129034666,101.68701374487874,0
06061,7.0,2.0,3.0,2.0,6.0,1.0,0.0,5.0,Well-Served,50.4767408189729,169.99805185304342,198.64142857142855,410540.0,510.0,0.7307448726068105,1.461489745213621,0.24358162420227017,0.0,124.2266283431578,0
06063,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Adequate,12.355205601757248,83.14639828856997,134.84857142857143,19314.8,14.0,0.0,0.0,25.886884668751424,0.0,72.483277072504,0
06065,91.0,20.0,53.65,29.3,72.0,1.0,0.0,111.0,Underserved,-26.554092536367477,79.6680173436785,240.7457142857143,2447098.2,1164.0,2.192392606067055,2.942260347377968,0.04086472704691622,0.0,47.56654228261048,0
06067,50.0,12.0,27.25,15.05,33.0,1.0,0.0,47.0,Well-Served,33.04130440971204,134.24859981921776,243.1157142857143,1584769.2,1458.0,1.719493286467203,2.082322145079549,0.06310067106301662,0.0,92.00077840987824,0
06069,6.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,Underserved,-90.80626521225405,32.03026097036438,249.7671428571429,65311.2,19.0,0.0,1.5311309545682825,7.6556547728414115,0.0,29.091488136797363,0
06071,60.0,12.0,37.25,15.6,46.0,12.0,0.0,69.0,Underserved,-7.263145742891382,96.06542864229812,262.3828571428571,2185474.8,1341.0,1.7044351186295994,2.1048057840795056,0.5490797697598709,0.0,61.35966427066558,0
06073,168.0,38.0,106.6,46.39,141.0,0.0,0.0,265.0,Well-Served,18.525609431933276,135.7236259673235,226.8328571428571,3297615.2,2806.0,3.2326391508627204,4.2758172633362435,0.0,0.0,85.09179603490425,0
06075,62.0,10.0,25.1,9.8,33.0,0.0,1.0,41.0,Well-Served,163.62303024248135,280.6551203993628,193.41,853061.8,1393.0,2.942342512582324,3.8684184428373185,0.0,0.11722480129810055,163.2941482082541,0
06077,37.0,9.0,12.25,10.0,31.0,2.0,0.0,41.0,Underserved,-19.79920490283395,82.14111987836195,244.39142857142855,786953.2,481.0,1.5566364048078083,3.9392431468605764,0.25414471915229525,0.0,61.121804956127,0
06079,22.0,5.0,7.6,4.6,18.0,0.0,0.0,16.0,Underserved,-13.337845269017322,89.603069113358,148.8946153846154,280281.8,229.0,2.7115567261234945,6.422108035555644,0.0,0.0,81.70348556345793,0
06081,26.0,4.0,11.55,6.05,14.0,0.0,0.0,19.0,Underserved,-6.711064808706936,128.05206830241474,176.85857142857145,752778.0,823.0,1.5343168902385567,1.8597780487740079,0.0,0.0,109.32838101007202,0
06083,38.0,12.0,30.75,15.75,25.0,0.0,0.0,56.0,TRUE DESERT,-5.636931401476588,103.917369945837,147.49714285714285,444074.4,339.0,6.924515351481644,5.629687277627353,0.0,0.0,76.3385594846269,1
06085,74.0,3.0,13.5,5.0,41.0,0.0,0.0,58.0,Well-Served,33.501880102254745,169.09621498134047,229.9542857142857,1916250.2,2074.0,0.7045009049444587,2.13959534094243,0.0,0.0,108.2322131003561,0
06087,19.0,5.0,19.98,13.28,12.0,0.0,0.0,34.0,Well-Served,22.474861262153738,128.43497649752922,158.15263736263736,265862.8,272.0,7.515154433038395,4.513606266089125,0.0,0.0,102.3084086980202,0
06089,36.0,7.0,15.03,4.4,14.0,5.0,0.0,35.0,Well-Served,33.310330643664585,100.65842779278744,241.5,180931.2,132.0,8.307024990714702,7.737747829009037,2.7634813675032275,0.0,72.9559081020852,0
06091,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,87.04532467532468,3208.6,0.0,31.166240728043388,31.166240728043388,31.166240728043388,0.0,0.0,0
