Month of Eligibility,County,Dual Status,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2017-12,Santa Barbara,Non-Dual,"136,886",,,F,
2017-12,Santa Clara,Dual,"58,738",,,F,
2017-12,Santa Clara,Non-Dual,"365,231",,,F,
2017-12,Santa Cruz,Dual,"8,113",,,F,
2017-12,Santa Cruz,Non-Dual,"70,400",,,F,
2017-12,Shasta,Dual,"9,317",,,F,
2017-12,Shasta,Non-Dual,"53,809",,,F,
2017-12,Sierra,Dual,167,,,F,
2017-12,Sierra,Non-Dual,676,,,F,
2017-12,Siskiyou,Dual,"2,663",,,F,
2017-12,Siskiyou,Non-Dual,"16,114",,,F,
2017-12,Solano,Dual,"13,790",,,F,
2017-12,Solano,Non-Dual,"107,464",,,F,
2017-12,Sonoma,Dual,"14,345",,,F,
2017-12,Sonoma,Non-Dual,"112,833",,,F,
2017-12,Stanislaus,Dual,"22,227",,,F,
2017-12,Stanislaus,Non-Dual,"228,147",,,F,
2017-12,Sutter,Dual,"4,699",,,F,
2017-12,Sutter,Non-Dual,"36,734",,,F,
2017-12,Tehama,Dual,"3,277",,,F,
2017-12,Tehama,Non-Dual,"23,969",,,F,
2017-12,Trinity,Dual,679,,,F,
2017-12,Trinity,Non-Dual,"4,150",,,F,
2017-12,Tulare,Dual,"20,563",,,F,
2017-12,Tulare,Non-Dual,"237,119",,,F,
2017-12,Tuolumne,Dual,"1,981",,,F,
2017-12,Tuolumne,Non-Dual,"11,895",,,F,
2017-12,Ventura,Dual,"22,087",,,F,
2017-12,Ventura,Non-Dual,"211,655",,,F,
2017-12,Yolo,Dual,"6,225",,,F,
2017-12,Yolo,Non-Dual,"52,788",,,F,
2017-12,Yuba,Dual,"3,457",,,F,
2017-12,Yuba,Non-Dual,"29,276",,,F,
2017-11,Alameda,Dual,"59,384",,,F,
2017-11,Alameda,Non-Dual,"377,206",,,F,
2017-11,Alpine,Dual,46,,,F,
2017-11,Alpine,Non-Dual,284,,,F,
2017-11,Amador,Dual,"1,018",,,F,
2017-11,Amador,Non-Dual,"7,177",,,F,
2017-11,Butte,Dual,"11,202",,,F,
2017-11,Butte,Non-Dual,"71,877",,,F,
2017-11,Calaveras,Dual,"1,420",,,F,
2017-11,Calaveras,Non-Dual,"10,573",,,F,
2017-11,Colusa,Dual,861,,,F,
2017-11,Colusa,Non-Dual,"8,350",,,F,
2017-11,Contra Costa,Dual,"30,850",,,F,
2017-11,Contra Costa,Non-Dual,"240,949",,,F,
2017-11,Del Norte,Dual,"1,584",,,F,
2017-11,Del Norte,Non-Dual,"10,493",,,F,
2017-11,El Dorado,Dual,"4,218",,,F,
2017-11,El Dorado,Non-Dual,"34,276",,,F,
2017-11,Fresno,Dual,"40,586",,,F,
2017-11,Fresno,Non-Dual,"449,963",,,F,
2017-11,Glenn,Dual,"1,347",,,F,
2017-11,Glenn,Non-Dual,"11,162",,,F,
2017-11,Humboldt,Dual,"6,180",,,F,
2017-11,Humboldt,Non-Dual,"49,446",,,F,
2017-11,Imperial,Dual,"13,747",,,F,
2017-11,Imperial,Non-Dual,"81,331",,,F,
2017-11,Inyo,Dual,675,,,F,
2017-11,Inyo,Non-Dual,"4,893",,,F,
2017-11,Kern,Dual,"31,140",,,F,
2017-11,Kern,Non-Dual,"380,786",,,F,
2017-11,Kings,Dual,"4,802",,,F,
2017-11,Kings,Non-Dual,"53,302",,,F,
2017-11,Lake,Dual,"4,819",,,F,
2017-11,Lake,Non-Dual,"28,460",,,F,
2017-11,Lassen,Dual,"1,005",,,F,
2017-11,Lassen,Non-Dual,"7,037",,,F,
2017-11,Los Angeles,Dual,"470,416",,,F,
2017-11,Los Angeles,Non-Dual,"3,493,204",,,F,
2017-11,Madera,Dual,"5,151",,,F,
2017-11,Madera,Non-Dual,"65,587",,,F,
2017-11,Marin,Dual,"5,476",,,F,
2017-11,Marin,Non-Dual,"42,073",,,F,
2017-11,Mariposa,Dual,627,,,F,
2017-11,Mariposa,Non-Dual,"4,216",,,F,
2017-11,Mendocino,Dual,"4,665",,,F,
2017-11,Mendocino,Non-Dual,"37,914",,,F,
2017-11,Merced,Dual,"11,017",,,F,
2017-11,Merced,Non-Dual,"127,392",,,F,
2017-11,Modoc,Dual,457,,,F,
2017-11,Modoc,Non-Dual,"2,771",,,F,
2017-11,Mono,Dual,158,,,F,
2017-11,Mono,Non-Dual,"3,381",,,F,
2017-11,Monterey,Dual,"12,594",,,F,
2017-11,Monterey,Non-Dual,"172,234",,,F,
2017-11,Napa,Dual,"3,870",,,F,
2017-11,Napa,Non-Dual,"28,484",,,F,
2017-11,Nevada,Dual,"3,009",,,F,
2017-11,Nevada,Non-Dual,"22,671",,,F,
2017-11,Orange,Dual,"95,889",,,F,
2017-11,Orange,Non-Dual,"792,988",,,F,
2017-11,Placer,Dual,"7,359",,,F,
2017-11,Placer,Non-Dual,"54,591",,,F,
2017-11,Plumas,Dual,926,,,F,
2017-11,Plumas,Non-Dual,"5,537",,,F,
2017-11,Riverside,Dual,"70,508",,,F,
2017-11,Riverside,Non-Dual,"765,044",,,F,
2017-11,STATEWIDE,STATEWIDE,"13,315,869",,Statewide Total by MOE,F,
2017-11,Sacramento,Dual,"61,018",,,F,
2017-11,Sacramento,Non-Dual,"485,231",,,F,
2017-11,San Benito,Dual,"1,528",,,F,
2017-11,San Benito,Non-Dual,"17,076",,,F,
2017-11,San Bernardino,Dual,"73,233",,,F,
2017-11,San Bernardino,Non-Dual,"806,097",,,F,
2017-11,San Diego,Dual,"96,250",,,F,
2017-11,San Diego,Non-Dual,"797,481",,,F,
2017-11,San Francisco,Dual,"49,022",,,F,
2017-11,San Francisco,Non-Dual,"169,562",,,F,
2017-11,San Joaquin,Dual,"26,806",,,F,
2017-11,San Joaquin,Non-Dual,"270,511",,,F,
2017-11,San Luis Obispo,Dual,"6,842",,,F,
2017-11,San Luis Obispo,Non-Dual,"53,156",,,F,
2017-11,San Mateo,Dual,"18,499",,,F,
2017-11,San Mateo,Non-Dual,"130,579",,,F,
2017-11,Santa Barbara,Dual,"12,661",,,F,
2017-11,Santa Barbara,Non-Dual,"136,240",,,F,
2017-11,Santa Clara,Dual,"58,900",,,F,
2017-11,Santa Clara,Non-Dual,"364,223",,,F,
2017-11,Santa Cruz,Dual,"8,123",,,F,
2017-11,Santa Cruz,Non-Dual,"69,980",,,F,
2017-11,Shasta,Dual,"9,328",,,F,
2017-11,Shasta,Non-Dual,"53,854",,,F,
2017-11,Sierra,Dual,169,,,F,
2017-11,Sierra,Non-Dual,682,,,F,
2017-11,Siskiyou,Dual,"2,673",,,F,
2017-11,Siskiyou,Non-Dual,"16,091",,,F,
2017-11,Solano,Dual,"13,761",,,F,
2017-11,Solano,Non-Dual,"106,672",,,F,
2017-11,Sonoma,Dual,"14,499",,,F,
2017-11,Sonoma,Non-Dual,"112,268",,,F,
2017-11,Stanislaus,Dual,"22,303",,,F,
2017-11,Stanislaus,Non-Dual,"228,261",,,F,
2017-11,Sutter,Dual,"4,710",,,F,
2017-11,Sutter,Non-Dual,"36,698",,,F,
2017-11,Tehama,Dual,"3,306",,,F,
2017-11,Tehama,Non-Dual,"23,868",,,F,
2017-11,Trinity,Dual,673,,,F,
2017-11,Trinity,Non-Dual,"4,121",,,F,
2017-11,Tulare,Dual,"20,596",,,F,
2017-11,Tulare,Non-Dual,"237,114",,,F,
2017-11,Tuolumne,Dual,"1,991",,,F,
2017-11,Tuolumne,Non-Dual,"11,914",,,F,
2017-11,Ventura,Dual,"22,125",,,F,
2017-11,Ventura,Non-Dual,"210,711",,,F,
2017-11,Yolo,Dual,"6,227",,,F,
2017-11,Yolo,Non-Dual,"52,718",,,F,
2017-11,Yuba,Dual,"3,437",,,F,
2017-11,Yuba,Non-Dual,"29,423",,,F,
2017-10,Alameda,Dual,"59,352",,,F,
2017-10,Alameda,Non-Dual,"378,140",,,F,
2017-10,Alpine,Dual,44,,,F,
2017-10,Alpine,Non-Dual,284,,,F,
2017-10,Amador,Dual,"1,019",,,F,
2017-10,Amador,Non-Dual,"7,139",,,F,
2017-10,Butte,Dual,"11,218",,,F,
2017-10,Butte,Non-Dual,"71,843",,,F,
2017-10,Calaveras,Dual,"1,433",,,F,
2017-10,Calaveras,Non-Dual,"10,615",,,F,
2017-10,Colusa,Dual,858,,,F,
2017-10,Colusa,Non-Dual,"8,294",,,F,
2017-10,Contra Costa,Dual,"30,885",,,F,
2017-10,Contra Costa,Non-Dual,"241,987",,,F,
2017-10,Del Norte,Dual,"1,590",,,F,
2017-10,Del Norte,Non-Dual,"10,482",,,F,
2017-10,El Dorado,Dual,"4,238",,,F,
2017-10,El Dorado,Non-Dual,"34,393",,,F,
2017-10,Fresno,Dual,"40,560",,,F,
2017-10,Fresno,Non-Dual,"450,302",,,F,
2017-10,Glenn,Dual,"1,335",,,F,
2017-10,Glenn,Non-Dual,"11,158",,,F,
2017-10,Humboldt,Dual,"6,192",,,F,
2017-10,Humboldt,Non-Dual,"49,218",,,F,
2017-10,Imperial,Dual,"13,696",,,F,
2017-10,Imperial,Non-Dual,"81,383",,,F,
2017-10,Inyo,Dual,678,,,F,
2017-10,Inyo,Non-Dual,"4,897",,,F,
2017-10,Kern,Dual,"31,248",,,F,
2017-10,Kern,Non-Dual,"379,867",,,F,
2017-10,Kings,Dual,"4,777",,,F,
2017-10,Kings,Non-Dual,"53,009",,,F,
2017-10,Lake,Dual,"4,835",,,F,
2017-10,Lake,Non-Dual,"28,345",,,F,
2017-10,Lassen,Dual,"1,007",,,F,
2017-10,Lassen,Non-Dual,"7,017",,,F,
2017-10,Los Angeles,Dual,"470,006",,,F,
2017-10,Los Angeles,Non-Dual,"3,496,057",,,F,
2017-10,Madera,Dual,"5,167",,,F,
2017-10,Madera,Non-Dual,"65,362",,,F,
2017-10,Marin,Dual,"5,473",,,F,
2017-10,Marin,Non-Dual,"42,082",,,F,
2017-10,Mariposa,Dual,631,,,F,
2017-10,Mariposa,Non-Dual,"4,274",,,F,
2017-10,Mendocino,Dual,"4,669",,,F,
2017-10,Mendocino,Non-Dual,"37,733",,,F,
2017-10,Merced,Dual,"11,035",,,F,
2017-10,Merced,Non-Dual,"127,496",,,F,
2017-10,Modoc,Dual,452,,,F,
2017-10,Modoc,Non-Dual,"2,766",,,F,
2017-10,Mono,Dual,157,,,F,
2017-10,Mono,Non-Dual,"3,443",,,F,
2017-10,Monterey,Dual,"12,566",,,F,
2017-10,Monterey,Non-Dual,"172,501",,,F,
2017-10,Napa,Dual,"3,890",,,F,
2017-10,Napa,Non-Dual,"28,317",,,F,
2017-10,Nevada,Dual,"2,974",,,F,
2017-10,Nevada,Non-Dual,"22,572",,,F,
2017-10,Orange,Dual,"96,261",,,F,
2017-10,Orange,Non-Dual,"796,481",,,F,
2017-10,Placer,Dual,"7,375",,,F,
2017-10,Placer,Non-Dual,"54,477",,,F,
2017-10,Plumas,Dual,924,,,F,
2017-10,Plumas,Non-Dual,"5,507",,,F,
2017-10,Riverside,Dual,"70,463",,,F,
2017-10,Riverside,Non-Dual,"763,564",,,F,
2017-10,STATEWIDE,STATEWIDE,"13,332,444",,Statewide Total by MOE,F,
2017-10,Sacramento,Dual,"61,199",,,F,
2017-10,Sacramento,Non-Dual,"487,603",,,F,
2017-10,San Benito,Dual,"1,531",,,F,
2017-10,San Benito,Non-Dual,"17,131",,,F,
2017-10,San Bernardino,Dual,"73,158",,,F,
2017-10,San Bernardino,Non-Dual,"805,549",,,F,
2017-10,San Diego,Dual,"96,539",,,F,
2017-10,San Diego,Non-Dual,"802,011",,,F,
2017-10,San Francisco,Dual,"49,218",,,F,
2017-10,San Francisco,Non-Dual,"170,536",,,F,
2017-10,San Joaquin,Dual,"26,784",,,F,
2017-10,San Joaquin,Non-Dual,"270,787",,,F,
2017-10,San Luis Obispo,Dual,"6,866",,,F,
2017-10,San Luis Obispo,Non-Dual,"53,202",,,F,
2017-10,San Mateo,Dual,"18,470",,,F,
2017-10,San Mateo,Non-Dual,"131,272",,,F,
2017-10,Santa Barbara,Dual,"12,611",,,F,
2017-10,Santa Barbara,Non-Dual,"136,164",,,F,
2017-10,Santa Clara,Dual,"58,939",,,F,
2017-10,Santa Clara,Non-Dual,"364,432",,,F,
2017-10,Santa Cruz,Dual,"8,146",,,F,
2017-10,Santa Cruz,Non-Dual,"70,247",,,F,
2017-10,Shasta,Dual,"9,339",,,F,
2017-10,Shasta,Non-Dual,"53,916",,,F,
2017-10,Sierra,Dual,171,,,F,
2017-10,Sierra,Non-Dual,702,,,F,
2017-10,Siskiyou,Dual,"2,671",,,F,
2017-10,Siskiyou,Non-Dual,"16,097",,,F,
2017-10,Solano,Dual,"13,777",,,F,
2017-10,Solano,Non-Dual,"107,097",,,F,
2017-10,Sonoma,Dual,"14,511",,,F,
2017-10,Sonoma,Non-Dual,"112,878",,,F,
2017-10,Stanislaus,Dual,"22,386",,,F,
2017-10,Stanislaus,Non-Dual,"228,266",,,F,
2017-10,Sutter,Dual,"4,744",,,F,
2017-10,Sutter,Non-Dual,"36,676",,,F,
2017-10,Tehama,Dual,"3,304",,,F,
2017-10,Tehama,Non-Dual,"23,833",,,F,
2017-10,Trinity,Dual,669,,,F,
2017-10,Trinity,Non-Dual,"4,105",,,F,
2017-10,Tulare,Dual,"20,607",,,F,
2017-10,Tulare,Non-Dual,"237,148",,,F,
2017-10,Tuolumne,Dual,"2,003",,,F,
2017-10,Tuolumne,Non-Dual,"11,920",,,F,
2017-10,Ventura,Dual,"22,253",,,F,
2017-10,Ventura,Non-Dual,"211,191",,,F,
2017-10,Yolo,Dual,"6,243",,,F,
2017-10,Yolo,Non-Dual,"52,669",,,F,
2017-10,Yuba,Dual,"3,442",,,F,
2017-10,Yuba,Non-Dual,"29,418",,,F,
2017-09,Alameda,Dual,"59,302",,,F,
2017-09,Alameda,Non-Dual,"378,573",,,F,
2017-09,Alpine,Dual,43,,,F,
2017-09,Alpine,Non-Dual,287,,,F,
2017-09,Amador,Dual,"1,027",,,F,
2017-09,Amador,Non-Dual,"7,212",,,F,
2017-09,Butte,Dual,"11,160",,,F,
2017-09,Butte,Non-Dual,"71,803",,,F,
2017-09,Calaveras,Dual,"1,452",,,F,
2017-09,Calaveras,Non-Dual,"10,593",,,F,
2017-09,Colusa,Dual,844,,,F,
2017-09,Colusa,Non-Dual,"8,278",,,F,
2017-09,Contra Costa,Dual,"30,846",,,F,
2017-09,Contra Costa,Non-Dual,"242,277",,,F,
2017-09,Del Norte,Dual,"1,589",,,F,
2017-09,Del Norte,Non-Dual,"10,468",,,F,
2017-09,El Dorado,Dual,"4,240",,,F,
2017-09,El Dorado,Non-Dual,"34,517",,,F,
2017-09,Fresno,Dual,"40,496",,,F,
2017-09,Fresno,Non-Dual,"450,971",,,F,
2017-09,Glenn,Dual,"1,345",,,F,
2017-09,Glenn,Non-Dual,"11,196",,,F,
2017-09,Humboldt,Dual,"6,215",,,F,
2017-09,Humboldt,Non-Dual,"49,066",,,F,
2017-09,Imperial,Dual,"13,673",,,F,
2017-09,Imperial,Non-Dual,"81,501",,,F,
2017-09,Inyo,Dual,684,,,F,
2017-09,Inyo,Non-Dual,"4,871",,,F,
2017-09,Kern,Dual,"31,172",,,F,
2017-09,Kern,Non-Dual,"379,639",,,F,
2017-09,Kings,Dual,"4,782",,,F,
2017-09,Kings,Non-Dual,"52,967",,,F,
2017-09,Lake,Dual,"4,828",,,F,
2017-09,Lake,Non-Dual,"28,222",,,F,
2017-09,Lassen,Dual,"1,009",,,F,
2017-09,Lassen,Non-Dual,"7,090",,,F,
2017-09,Los Angeles,Dual,"469,199",,,F,
2017-09,Los Angeles,Non-Dual,"3,496,071",,,F,
2017-09,Madera,Dual,"5,202",,,F,
2017-09,Madera,Non-Dual,"65,388",,,F,
2017-09,Marin,Dual,"5,482",,,F,
2017-09,Marin,Non-Dual,"42,168",,,F,
2017-09,Mariposa,Dual,631,,,F,
2017-09,Mariposa,Non-Dual,"4,226",,,F,
2017-09,Mendocino,Dual,"4,655",,,F,
2017-09,Mendocino,Non-Dual,"37,661",,,F,
2017-09,Merced,Dual,"11,038",,,F,
2017-09,Merced,Non-Dual,"128,082",,,F,
2017-09,Modoc,Dual,456,,,F,
2017-09,Modoc,Non-Dual,"2,748",,,F,
2017-09,Mono,Dual,155,,,F,
2017-09,Mono,Non-Dual,"3,510",,,F,
2017-09,Monterey,Dual,"12,666",,,F,
2017-09,Monterey,Non-Dual,"173,203",,,F,
2017-09,Napa,Dual,"3,868",,,F,
2017-09,Napa,Non-Dual,"28,455",,,F,
2017-09,Nevada,Dual,"2,966",,,F,
2017-09,Nevada,Non-Dual,"22,448",,,F,
2017-09,Orange,Dual,"96,147",,,F,
2017-09,Orange,Non-Dual,"799,499",,,F,
2017-09,Placer,Dual,"7,395",,,F,
2017-09,Placer,Non-Dual,"54,668",,,F,
2017-09,Plumas,Dual,923,,,F,
2017-09,Plumas,Non-Dual,"5,504",,,F,
2017-09,Riverside,Dual,"70,495",,,F,
2017-09,Riverside,Non-Dual,"765,718",,,F,
2017-09,STATEWIDE,STATEWIDE,"13,348,572",,Statewide Total by MOE,F,
2017-09,Sacramento,Dual,"61,271",,,F,
2017-09,Sacramento,Non-Dual,"488,400",,,F,
2017-09,San Benito,Dual,"1,526",,,F,
2017-09,San Benito,Non-Dual,"17,123",,,F,
2017-09,San Bernardino,Dual,"73,019",,,F,
2017-09,San Bernardino,Non-Dual,"808,549",,,F,
2017-09,San Diego,Dual,"96,458",,,F,
2017-09,San Diego,Non-Dual,"802,425",,,F,
2017-09,San Francisco,Dual,"49,274",,,F,
2017-09,San Francisco,Non-Dual,"171,379",,,F,
2017-09,San Joaquin,Dual,"26,795",,,F,
2017-09,San Joaquin,Non-Dual,"271,652",,,F,
2017-09,San Luis Obispo,Dual,"6,831",,,F,
2017-09,San Luis Obispo,Non-Dual,"53,396",,,F,
2017-09,San Mateo,Dual,"18,589",,,F,
2017-09,San Mateo,Non-Dual,"131,753",,,F,
2017-09,Santa Barbara,Dual,"12,568",,,F,
2017-09,Santa Barbara,Non-Dual,"135,988",,,F,
2017-09,Santa Clara,Dual,"58,856",,,F,
2017-09,Santa Clara,Non-Dual,"365,577",,,F,
2017-09,Santa Cruz,Dual,"8,141",,,F,
2017-09,Santa Cruz,Non-Dual,"70,439",,,F,
2017-09,Shasta,Dual,"9,339",,,F,
2017-09,Shasta,Non-Dual,"53,981",,,F,
2017-09,Sierra,Dual,169,,,F,
2017-09,Sierra,Non-Dual,692,,,F,
2017-09,Siskiyou,Dual,"2,650",,,F,
2017-09,Siskiyou,Non-Dual,"16,091",,,F,
2017-09,Solano,Dual,"13,788",,,F,
2017-09,Solano,Non-Dual,"107,261",,,F,
2017-09,Sonoma,Dual,"14,531",,,F,
2017-09,Sonoma,Non-Dual,"113,611",,,F,
2017-09,Stanislaus,Dual,"22,451",,,F,
2017-09,Stanislaus,Non-Dual,"228,516",,,F,
2017-09,Sutter,Dual,"4,752",,,F,
2017-09,Sutter,Non-Dual,"36,841",,,F,
2017-09,Tehama,Dual,"3,299",,,F,
2017-09,Tehama,Non-Dual,"23,853",,,F,
2017-09,Trinity,Dual,667,,,F,
2017-09,Trinity,Non-Dual,"4,110",,,F,
2017-09,Tulare,Dual,"20,598",,,F,
2017-09,Tulare,Non-Dual,"237,133",,,F,
2017-09,Tuolumne,Dual,"2,001",,,F,
2017-09,Tuolumne,Non-Dual,"11,922",,,F,
2017-09,Ventura,Dual,"22,196",,,F,
2017-09,Ventura,Non-Dual,"211,308",,,F,
2017-09,Yolo,Dual,"6,268",,,F,
2017-09,Yolo,Non-Dual,"52,804",,,F,
2017-09,Yuba,Dual,"3,442",,,F,
2017-09,Yuba,Non-Dual,"29,424",,,F,
2017-08,Alameda,Dual,"59,109",,,F,
2017-08,Alameda,Non-Dual,"379,008",,,F,
2017-08,Alpine,Dual,42,,,F,
2017-08,Alpine,Non-Dual,281,,,F,
2017-08,Amador,Dual,"1,011",,,F,
2017-08,Amador,Non-Dual,"7,205",,,F,
2017-08,Butte,Dual,"11,140",,,F,
2017-08,Butte,Non-Dual,"72,046",,,F,
2017-08,Calaveras,Dual,"1,426",,,F,
2017-08,Calaveras,Non-Dual,"10,624",,,F,
2017-08,Colusa,Dual,847,,,F,
2017-08,Colusa,Non-Dual,"8,251",,,F,
2017-08,Contra Costa,Dual,"30,738",,,F,
2017-08,Contra Costa,Non-Dual,"242,865",,,F,
2017-08,Del Norte,Dual,"1,603",,,F,
2017-08,Del Norte,Non-Dual,"10,486",,,F,
2017-08,El Dorado,Dual,"4,249",,,F,
2017-08,El Dorado,Non-Dual,"34,500",,,F,
2017-08,Fresno,Dual,"40,431",,,F,
2017-08,Fresno,Non-Dual,"451,894",,,F,
2017-08,Glenn,Dual,"1,353",,,F,
2017-08,Glenn,Non-Dual,"11,142",,,F,
2017-08,Humboldt,Dual,"6,210",,,F,
2017-08,Humboldt,Non-Dual,"49,215",,,F,
2017-08,Imperial,Dual,"13,631",,,F,
2017-08,Imperial,Non-Dual,"81,729",,,F,
2017-08,Inyo,Dual,679,,,F,
2017-08,Inyo,Non-Dual,"4,859",,,F,
2017-08,Kern,Dual,"31,221",,,F,
2017-08,Kern,Non-Dual,"381,935",,,F,
2017-08,Kings,Dual,"4,785",,,F,
2017-08,Kings,Non-Dual,"53,077",,,F,
2017-08,Lake,Dual,"4,822",,,F,
2017-08,Lake,Non-Dual,"28,120",,,F,
2017-08,Lassen,Dual,"1,005",,,F,
2017-08,Lassen,Non-Dual,"7,086",,,F,
2017-08,Los Angeles,Dual,"468,848",,,F,
2017-08,Los Angeles,Non-Dual,"3,507,082",,,F,
2017-08,Madera,Dual,"5,195",,,F,
2017-08,Madera,Non-Dual,"65,272",,,F,
2017-08,Marin,Dual,"5,488",,,F,
2017-08,Marin,Non-Dual,"42,105",,,F,
2017-08,Mariposa,Dual,629,,,F,
2017-08,Mariposa,Non-Dual,"4,224",,,F,
2017-08,Mendocino,Dual,"4,644",,,F,
2017-08,Mendocino,Non-Dual,"37,450",,,F,
2017-08,Merced,Dual,"11,045",,,F,
2017-08,Merced,Non-Dual,"128,665",,,F,
2017-08,Modoc,Dual,461,,,F,
2017-08,Modoc,Non-Dual,"2,743",,,F,
2017-08,Mono,Dual,162,,,F,
2017-08,Mono,Non-Dual,"3,545",,,F,
2017-08,Monterey,Dual,"12,679",,,F,
2017-08,Monterey,Non-Dual,"173,998",,,F,
2017-08,Napa,Dual,"3,841",,,F,
2017-08,Napa,Non-Dual,"28,542",,,F,
2017-08,Nevada,Dual,"2,957",,,F,
2017-08,Nevada,Non-Dual,"22,343",,,F,
2017-08,Orange,Dual,"96,006",,,F,
2017-08,Orange,Non-Dual,"801,516",,,F,
2017-08,Placer,Dual,"7,413",,,F,
2017-08,Placer,Non-Dual,"54,783",,,F,
2017-08,Plumas,Dual,944,,,F,
2017-08,Plumas,Non-Dual,"5,551",,,F,
2017-08,Riverside,Dual,"70,438",,,F,
2017-08,Riverside,Non-Dual,"768,276",,,F,
2017-08,STATEWIDE,STATEWIDE,"13,385,619",,Statewide Total by MOE,F,
2017-08,Sacramento,Dual,"61,286",,,F,
2017-08,Sacramento,Non-Dual,"490,957",,,F,
2017-08,San Benito,Dual,"1,527",,,F,
2017-08,San Benito,Non-Dual,"17,147",,,F,
2017-08,San Bernardino,Dual,"72,927",,,F,
2017-08,San Bernardino,Non-Dual,"812,043",,,F,
2017-08,San Diego,Dual,"96,212",,,F,
2017-08,San Diego,Non-Dual,"804,709",,,F,
2017-08,San Francisco,Dual,"49,445",,,F,
2017-08,San Francisco,Non-Dual,"172,713",,,F,
2017-08,San Joaquin,Dual,"26,758",,,F,
2017-08,San Joaquin,Non-Dual,"271,557",,,F,
2017-08,San Luis Obispo,Dual,"6,798",,,F,
2017-08,San Luis Obispo,Non-Dual,"53,556",,,F,
2017-08,San Mateo,Dual,"18,752",,,F,
2017-08,San Mateo,Non-Dual,"132,330",,,F,
2017-08,Santa Barbara,Dual,"12,548",,,F,
2017-08,Santa Barbara,Non-Dual,"136,073",,,F,
2017-08,Santa Clara,Dual,"58,761",,,F,
2017-08,Santa Clara,Non-Dual,"367,664",,,F,
2017-08,Santa Cruz,Dual,"8,154",,,F,
2017-08,Santa Cruz,Non-Dual,"70,679",,,F,
2017-08,Shasta,Dual,"9,337",,,F,
2017-08,Shasta,Non-Dual,"53,944",,,F,
2017-08,Sierra,Dual,170,,,F,
2017-08,Sierra,Non-Dual,690,,,F,
2017-08,Siskiyou,Dual,"2,657",,,F,
2017-08,Siskiyou,Non-Dual,"16,121",,,F,
2017-08,Solano,Dual,"13,777",,,F,
2017-08,Solano,Non-Dual,"107,595",,,F,
2017-08,Sonoma,Dual,"14,536",,,F,
2017-08,Sonoma,Non-Dual,"114,249",,,F,
2017-08,Stanislaus,Dual,"22,400",,,F,
2017-08,Stanislaus,Non-Dual,"228,929",,,F,
2017-08,Sutter,Dual,"4,771",,,F,
2017-08,Sutter,Non-Dual,"37,338",,,F,
2017-08,Tehama,Dual,"3,301",,,F,
2017-08,Tehama,Non-Dual,"23,905",,,F,
2017-08,Trinity,Dual,680,,,F,
2017-08,Trinity,Non-Dual,"4,121",,,F,
2017-08,Tulare,Dual,"20,536",,,F,
2017-08,Tulare,Non-Dual,"238,114",,,F,
2017-08,Tuolumne,Dual,"1,991",,,F,
2017-08,Tuolumne,Non-Dual,"12,029",,,F,
2017-08,Ventura,Dual,"22,198",,,F,
2017-08,Ventura,Non-Dual,"212,032",,,F,
2017-08,Yolo,Dual,"6,243",,,F,
2017-08,Yolo,Non-Dual,"53,028",,,F,
2017-08,Yuba,Dual,"3,442",,,F,
2017-08,Yuba,Non-Dual,"29,419",,,F,
2017-07,Alameda,Dual,"58,952",,,F,
2017-07,Alameda,Non-Dual,"375,572",,,F,
2017-07,Alpine,Dual,43,,,F,
2017-07,Alpine,Non-Dual,273,,,F,
2017-07,Amador,Dual,"1,006",,,F,
2017-07,Amador,Non-Dual,"7,193",,,F,
2017-07,Butte,Dual,"11,162",,,F,
2017-07,Butte,Non-Dual,"71,997",,,F,
2017-07,Calaveras,Dual,"1,440",,,F,
2017-07,Calaveras,Non-Dual,"10,659",,,F,
2017-07,Colusa,Dual,841,,,F,
2017-07,Colusa,Non-Dual,"8,254",,,F,
2017-07,Contra Costa,Dual,"30,640",,,F,
2017-07,Contra Costa,Non-Dual,"241,223",,,F,
2017-07,Del Norte,Dual,"1,600",,,F,
2017-07,Del Norte,Non-Dual,"10,439",,,F,
2017-07,El Dorado,Dual,"4,263",,,F,
2017-07,El Dorado,Non-Dual,"34,632",,,F,
2017-07,Fresno,Dual,"40,335",,,F,
2017-07,Fresno,Non-Dual,"452,076",,,F,
2017-07,Glenn,Dual,"1,354",,,F,
2017-07,Glenn,Non-Dual,"11,130",,,F,
2017-07,Humboldt,Dual,"6,213",,,F,
2017-07,Humboldt,Non-Dual,"49,251",,,F,
2017-07,Imperial,Dual,"13,567",,,F,
2017-07,Imperial,Non-Dual,"81,451",,,F,
2017-07,Inyo,Dual,684,,,F,
2017-07,Inyo,Non-Dual,"4,830",,,F,
2017-07,Kern,Dual,"31,143",,,F,
2017-07,Kern,Non-Dual,"381,966",,,F,
2017-07,Kings,Dual,"4,783",,,F,
2017-07,Kings,Non-Dual,"52,764",,,F,
2017-07,Lake,Dual,"4,792",,,F,
2017-07,Lake,Non-Dual,"28,014",,,F,
2017-07,Lassen,Dual,"1,010",,,F,
2017-07,Lassen,Non-Dual,"7,081",,,F,
2017-07,Los Angeles,Dual,"467,994",,,F,
2017-07,Los Angeles,Non-Dual,"3,504,953",,,F,
2017-07,Madera,Dual,"5,184",,,F,
2017-07,Madera,Non-Dual,"65,148",,,F,
