Month of Eligibility,County,Dual Status,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2025-10,Solano,Non-Dual,"128,905",,,P,09DEC2025
2025-10,Sonoma,Dual,"17,351",,,P,09DEC2025
2025-10,Sonoma,Non-Dual,"123,478",,,P,09DEC2025
2025-10,Stanislaus,Dual,"26,745",,,P,09DEC2025
2025-10,Stanislaus,Non-Dual,"226,611",,,P,09DEC2025
2025-10,Sutter,Dual,"5,773",,,P,09DEC2025
2025-10,Sutter,Non-Dual,"40,189",,,P,09DEC2025
2025-10,Tehama,Dual,"4,316",,,P,09DEC2025
2025-10,Tehama,Non-Dual,"25,901",,,P,09DEC2025
2025-10,Trinity,Dual,"1,008",,,P,09DEC2025
2025-10,Trinity,Non-Dual,"4,438",,,P,09DEC2025
2025-10,Tulare,Dual,"26,814",,,P,09DEC2025
2025-10,Tulare,Non-Dual,"264,194",,,P,09DEC2025
2025-10,Tuolumne,Dual,"2,828",,,P,09DEC2025
2025-10,Tuolumne,Non-Dual,"12,434",,,P,09DEC2025
2025-10,Ventura,Dual,"29,990",,,P,09DEC2025
2025-10,Ventura,Non-Dual,"227,021",,,P,09DEC2025
2025-10,Yolo,Dual,"7,664",,,P,09DEC2025
2025-10,Yolo,Non-Dual,"52,719",,,P,09DEC2025
2025-10,Yuba,Dual,"4,714",,,P,09DEC2025
2025-10,Yuba,Non-Dual,"35,104",,,P,09DEC2025
2025-09,Alameda,Dual,"69,807",,,P,09DEC2025
2025-09,Alameda,Non-Dual,"427,603",,,P,09DEC2025
2025-09,Alpine,Dual,46,,,P,09DEC2025
2025-09,Alpine,Non-Dual,269,,,P,09DEC2025
2025-09,Amador,Dual,"1,649",,,P,09DEC2025
2025-09,Amador,Non-Dual,"7,789",,,P,09DEC2025
2025-09,Butte,Dual,"12,639",,,P,09DEC2025
2025-09,Butte,Non-Dual,"73,219",,,P,09DEC2025
2025-09,Calaveras,Dual,"2,205",,,P,09DEC2025
2025-09,Calaveras,Non-Dual,"11,780",,,P,09DEC2025
2025-09,Colusa,Dual,"1,370",,,P,09DEC2025
2025-09,Colusa,Non-Dual,"9,190",,,P,09DEC2025
2025-09,Contra Costa,Dual,"40,245",,,P,09DEC2025
2025-09,Contra Costa,Non-Dual,"297,896",,,P,09DEC2025
2025-09,Del Norte,Dual,"2,073",,,P,09DEC2025
2025-09,Del Norte,Non-Dual,"10,613",,,P,09DEC2025
2025-09,El Dorado,Dual,"5,964",,,P,09DEC2025
2025-09,El Dorado,Non-Dual,"34,962",,,P,09DEC2025
2025-09,Fresno,Dual,"51,185",,,P,09DEC2025
2025-09,Fresno,Non-Dual,"477,382",,,P,09DEC2025
2025-09,Glenn,Dual,"1,855",,,P,09DEC2025
2025-09,Glenn,Non-Dual,"12,011",,,P,09DEC2025
