fips5,year,new_providers,new_physicians,new_pcps,population,medi_cal_share,county_type,access_gap,high_mc,post_prop56,treat_x_post,new_providers_per100k,new_physicians_per100k,new_pcps_per100k,true_desert,desert_x_post,event_time
06081,2012,130,70,34,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,0,0,21.329119136912272,11.484910304491223,5.578385005038594,0,0,-5
06081,2013,161,69,28,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,0,0,26.415293700329812,11.320840157284206,4.593964121796489,0,0,-4
06081,2014,147,98,40,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,0,0,24.118311639431568,16.07887442628771,6.562805888280699,0,0,-3
06081,2015,281,173,75,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,0,0,46.10371136517191,28.384135466814023,12.305261040526311,0,0,-2
06081,2016,143,66,25,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,0,0,23.462031050603496,10.828629715663153,4.101753680175437,0,0,-1
06081,2017,195,67,20,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,0,0,31.993678705368406,10.99269986287017,3.2814029441403494,0,0,0
06081,2018,236,59,36,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,1,0,38.72055474085612,9.68013868521403,5.906525299452628,0,0,1
06081,2019,314,43,20,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,1,0,51.51802622300348,7.055016329901751,3.2814029441403494,0,0,2
06081,2020,451,75,35,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,1,0,73.99563639036488,12.305261040526311,5.742455152245611,0,0,3
06081,2021,208,53,16,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,1,0,34.126590619059634,8.695717801971925,2.6251223553122793,0,0,4
06081,2022,254,77,13,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,1,0,41.673817390582435,12.633401334940345,2.132911913691227,0,0,5
06081,2023,262,103,21,609495.4,0.057818374749327515,Underserved,-6.711064808706936,0,1,0,42.98637856823858,16.8992251623228,3.4454730913473663,0,0,6
